"",BBAI3.Q.DE.N.V.LE.F7.RV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F7.RV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Reinsurance companies / Other accounts receivable/payable / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:42,
2005-10,15349,
2006-01,15533,
2006-04,15820,
2006-07,16241,
2006-10,16934,
2007-01,16774,
2007-04,16658,
2007-07,16606,
2007-10,16610,
2008-01,16777,
2008-04,16969,
2008-07,17184,
2008-10,17364,
2009-01,17298,
2009-04,17252,
2009-07,17221,
2009-10,17334,
2010-01,17150,
2010-04,17099,
2010-07,17109,
2010-10,17096,
2011-01,17277,
2011-04,17540,
2011-07,17903,
2011-10,18403,
2012-01,18628,
2012-04,18950,
2012-07,19342,
2012-10,19790,
2013-01,19635,
2013-04,19492,
2013-07,19364,
2013-10,19217,
2014-01,19459,
2014-04,19639,
2014-07,19471,
