"",BBK01.CEB0QB,BBK01.CEB0QB_FLAGS
"",Financial assets debtor: All sectors  (consolidated)                  creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:46,
1991-01,390.9,
1991-04,395.0,
1991-07,402.7,
1991-10,451.3,
1992-01,428.7,
1992-04,426.1,
1992-07,438.7,
1992-10,499.6,
1993-01,468.9,
1993-04,468.4,
1993-07,501.3,
1993-10,584.5,
1994-01,591.1,
1994-04,600.9,
1994-07,610.5,
1994-10,613.2,
1995-01,615.1,
1995-04,640.0,
1995-07,659.0,
1995-10,680.4,
1996-01,707.8,
1996-04,725.2,
1996-07,744.9,
1996-10,759.0,
1997-01,804.7,
1997-04,833.5,
1997-07,858.4,
1997-10,879.8,
1998-01,924.4,
1998-04,956.9,
1998-07,956.0,
1998-10,971.2,
1999-01,958.7,
1999-04,984.6,
1999-07,994.5,
1999-10,1066.3,
2000-01,1113.5,
2000-04,1118.2,
2000-07,1132.6,
2000-10,1103.8,
2001-01,1106.5,
2001-04,1127.3,
2001-07,1099.4,
2001-10,1139.8,
2002-01,1189.2,
2002-04,1172.8,
2002-07,1149.2,
2002-10,1162.2,
2003-01,1163.3,
2003-04,1201.3,
2003-07,1214.1,
2003-10,1269.3,
2004-01,1297.4,
2004-04,1303.5,
2004-07,1313.0,
2004-10,1338.8,
2005-01,1370.3,
2005-04,1389.0,
2005-07,1421.3,
2005-10,1460.0,
2006-01,1461.9,
2006-04,1472.3,
2006-07,1499.1,
2006-10,1522.1,
2007-01,1533.7,
2007-04,1565.2,
2007-07,1581.0,
2007-10,1588.0,
2008-01,1572.5,
2008-04,1566.0,
2008-07,1570.2,
2008-10,1560.1,
2009-01,1574.0,
2009-04,1590.5,
2009-07,1609.4,
2009-10,1631.3,
2010-01,1676.5,
2010-04,1684.9,
2010-07,1710.9,
2010-10,1730.5,
2011-01,1755.8,
2011-04,1781.4,
2011-07,1773.2,
2011-10,1779.5,
2012-01,1844.4,
2012-04,1852.6,
2012-07,1902.4,
2012-10,1945.0,
2013-01,1981.6,
2013-04,1975.2,
2013-07,2000.5,
2013-10,2017.6,
2014-01,2078.5,
