"",BBK01.CEHEI0,BBK01.CEHEI0_FLAGS
"",short-term loans debtor: Households and non-profit institutions serving households                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:59,
1991-01,1.1,
1991-04,3.3,
1991-07,1.7,
1991-10,3.9,
1992-01,0.0,
1992-04,3.7,
1992-07,-0.2,
1992-10,3.0,
1993-01,-0.3,
1993-04,0.3,
1993-07,-0.3,
1993-10,2.3,
1994-01,-3.3,
1994-04,0.8,
1994-07,1.1,
1994-10,2.5,
1995-01,-1.2,
1995-04,2.8,
1995-07,0.3,
1995-10,2.1,
1996-01,-5.0,
1996-04,0.9,
1996-07,0.3,
1996-10,6.5,
1997-01,-5.7,
1997-04,1.0,
1997-07,-0.8,
1997-10,2.6,
1998-01,-3.1,
1998-04,3.2,
1998-07,2.2,
1998-10,4.7,
1999-01,-2.9,
1999-04,2.9,
1999-07,-0.3,
1999-10,0.4,
2000-01,-1.9,
2000-04,2.7,
2000-07,0.3,
2000-10,1.0,
2001-01,-3.1,
2001-04,1.4,
2001-07,-0.7,
2001-10,-0.8,
2002-01,-3.4,
2002-04,0.0,
2002-07,0.7,
2002-10,-0.7,
2003-01,-3.8,
2003-04,-0.2,
2003-07,-0.5,
2003-10,-3.2,
2004-01,-4.5,
2004-04,-1.2,
2004-07,0.1,
2004-10,-2.7,
2005-01,-2.9,
2005-04,-0.8,
2005-07,-0.8,
2005-10,-0.6,
2006-01,-2.4,
2006-04,-0.3,
2006-07,-0.2,
2006-10,-2.6,
2007-01,-2.0,
2007-04,0.7,
2007-07,-0.9,
2007-10,1.0,
2008-01,-0.7,
2008-04,0.0,
2008-07,0.6,
2008-10,1.4,
2009-01,-0.4,
2009-04,-0.1,
2009-07,-1.3,
2009-10,-2.5,
2010-01,-0.3,
2010-04,1.0,
2010-07,-0.8,
2010-10,-2.1,
2011-01,-0.6,
2011-04,1.0,
2011-07,-0.9,
2011-10,-1.6,
2012-01,-0.1,
2012-04,0.8,
2012-07,-0.9,
2012-10,-0.8,
2013-01,-1.5,
2013-04,-0.3,
2013-07,0.0,
2013-10,-1.3,
2014-01,0.7,
