"",BBSF2.M.1.S.00000.GEL01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEL01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
1989-08,-,Nothing exists
1989-09,-,Nothing exists
1989-10,-,Nothing exists
1989-11,-,Nothing exists
1989-12,-,Nothing exists
1990-01,-,Nothing exists
1990-02,-,Nothing exists
1990-03,-,Nothing exists
1990-04,-,Nothing exists
1990-05,-,Nothing exists
1990-06,-,Nothing exists
1990-07,-,Nothing exists
1990-08,-,Nothing exists
1990-09,-,Nothing exists
1990-10,-,Nothing exists
1990-11,-,Nothing exists
1990-12,-,Nothing exists
1991-01,-,Nothing exists
1991-02,-,Nothing exists
1991-03,-,Nothing exists
1991-04,-,Nothing exists
1991-05,-,Nothing exists
1991-06,-,Nothing exists
1991-07,-,Nothing exists
1991-08,-,Nothing exists
1991-09,-,Nothing exists
1991-10,-,Nothing exists
1991-11,-,Nothing exists
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,-,Nothing exists
1994-09,-,Nothing exists
1994-10,-,Nothing exists
1994-11,-,Nothing exists
1994-12,-,Nothing exists
1995-01,-,Nothing exists
1995-02,-,Nothing exists
1995-03,-,Nothing exists
1995-04,-,Nothing exists
1995-05,-,Nothing exists
1995-06,-,Nothing exists
1995-07,-,Nothing exists
1995-08,23,
1995-09,34,
1995-10,43,
1995-11,413,
1995-12,273,
1996-01,166,
1996-02,166,
1996-03,125,
1996-04,95,
1996-05,96,
1996-06,98,
1996-07,108,
1996-08,114,
1996-09,68,
1996-10,16,
1996-11,16,
1996-12,1,
1997-01,2,
1997-02,2,
1997-03,3,
1997-04,4,
1997-05,4,
1997-06,4,
1997-07,5,
1997-08,30,
1997-09,67,
1997-10,88,
1997-11,88,
1997-12,87,
1998-01,101,
1998-02,97,
1998-03,100,
1998-04,100,
1998-05,100,
1998-06,92,
1998-07,95,
1998-08,99,
1998-09,93,
1998-10,96,
1998-11,91,
1998-12,96,
1999-01,92,
1999-02,89,
1999-03,87,
1999-04,99,
1999-05,96,
1999-06,99,
1999-07,98,
1999-08,98,
1999-09,95,
1999-10,101,
1999-11,101,
1999-12,96,
2000-01,100,
2000-02,101,
2000-03,102,
2000-04,97,
2000-05,103,
2000-06,103,
2000-07,102,
2000-08,104,
2000-09,105,
2000-10,104,
2000-11,90,
2000-12,90,
2001-01,553,
2001-02,553,
2001-03,556,
2001-04,581,
2001-05,590,
2001-06,587,
2001-07,585,
2001-08,589,
2001-09,586,
2001-10,600,
2001-11,602,
2001-12,570,
2002-01,1097,
2002-02,1106,
2002-03,1096,
2002-04,1102,
2002-05,871,
2002-06,880,
2002-07,880,
2002-08,1085,
2002-09,1087,
2002-10,1476,
2002-11,1373,
2002-12,1148,
2003-01,1442,
2003-02,1535,
2003-03,1505,
2003-04,1537,
2003-05,1516,
2003-06,1492,
2003-07,1557,
2003-08,1722,
2003-09,1718,
2003-10,1783,
2003-11,1841,
2003-12,1835,
2004-01,1594,
2004-02,1853,
2004-03,1971,
2004-04,1966,
2004-05,2341,
2004-06,2409,
2004-07,2401,
2004-08,2389,
2004-09,2384,
2004-10,2199,
2004-11,2152,
2004-12,2163,
2005-01,2117,
2005-02,2140,
2005-03,2287,
2005-04,2096,
2005-05,2130,
2005-06,2286,
2005-07,2300,
2005-08,2418,
2005-09,2515,
2005-10,2499,
2005-11,2544,
2005-12,2083,
2006-01,2013,
2006-02,1983,
2006-03,1991,
2006-04,1990,
2006-05,1944,
2006-06,1951,
2006-07,1969,
2006-08,1953,
2006-09,1614,
2006-10,1635,
2006-11,1587,
2006-12,1565,
2007-01,1600,
2007-02,1604,
2007-03,1604,
2007-04,1602,
2007-05,2667,
2007-06,2705,
2007-07,2703,
2007-08,2657,
2007-09,2605,
2007-10,2519,
2007-11,2578,
2007-12,2533,
2008-01,2439,
2008-02,2384,
2008-03,2332,
2008-04,2343,
2008-05,2429,
2008-06,2373,
2008-07,2340,
2008-08,2319,
2008-09,2175,
2008-10,2011,
2008-11,1926,
2008-12,1841,
2009-01,1836,
2009-02,1785,
2009-03,1726,
2009-04,1697,
2009-05,1675,
2009-06,1697,
2009-07,2025,
2009-08,1860,
2009-09,1647,
2009-10,1617,
2009-11,1613,
2009-12,1580,
2010-01,1518,
2010-02,1421,
2010-03,1907,
2010-04,1872,
2010-05,1825,
2010-06,1801,
2010-07,1604,
2010-08,1799,
2010-09,1769,
2010-10,1688,
2010-11,1479,
2010-12,1478,
2011-01,1508,
2011-02,1508,
2011-03,1571,
2011-04,1585,
2011-05,1599,
2011-06,1535,
2011-07,1589,
2011-08,1684,
2011-09,1691,
2011-10,1677,
2011-11,1790,
2011-12,1802,
2012-01,1830,
2012-02,1814,
2012-03,1744,
2012-04,1741,
2012-05,1747,
2012-06,1792,
2012-07,1926,
2012-08,1536,
2012-09,1442,
2012-10,1838,
2012-11,1905,
2012-12,3860,
2013-01,4003,
2013-02,3408,
2013-03,3396,
2013-04,4175,
2013-05,4057,
2013-06,2463,
2013-07,2500,
2013-08,2503,
2013-09,2140,
2013-10,1605,
2013-11,1612,
2013-12,1187,
2014-01,1207,
2014-02,1199,
2014-03,1183,
2014-04,1178,
2014-05,1136,
2014-06,1133,
2014-07,1046,
2014-08,1166,
2014-09,1206,
2014-10,1209,
2014-11,1130,
