"",BBK01.CEHD0C,BBK01.CEHD0C_FLAGS
"",Currency and transferable deposits debtor: All sectors                    creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:51,
1991-01,-8.4,
1991-04,0.8,
1991-07,-5.5,
1991-10,7.2,
1992-01,-7.6,
1992-04,3.0,
1992-07,2.6,
1992-10,-4.8,
1993-01,-4.8,
1993-04,10.0,
1993-07,-0.6,
1993-10,1.6,
1994-01,-7.7,
1994-04,0.3,
1994-07,-0.8,
1994-10,4.3,
1995-01,-7.2,
1995-04,1.0,
1995-07,1.4,
1995-10,4.0,
1996-01,-4.9,
1996-04,0.9,
1996-07,0.0,
1996-10,6.8,
1997-01,-7.1,
1997-04,1.4,
1997-07,-1.7,
1997-10,4.9,
1998-01,-4.0,
1998-04,0.3,
1998-07,-0.5,
1998-10,6.7,
1999-01,-2.5,
1999-04,1.8,
1999-07,-1.3,
1999-10,1.7,
2000-01,-2.8,
2000-04,3.6,
2000-07,-2.9,
2000-10,3.9,
2001-01,-2.3,
2001-04,3.4,
2001-07,-1.3,
2001-10,-0.3,
2002-01,-2.3,
2002-04,0.7,
2002-07,-0.9,
2002-10,3.0,
2003-01,-1.6,
2003-04,3.2,
2003-07,-2.8,
2003-10,2.4,
2004-01,0.1,
2004-04,2.2,
2004-07,-0.5,
2004-10,-2.7,
2005-01,1.4,
2005-04,2.5,
2005-07,-1.8,
2005-10,1.9,
2006-01,-0.4,
2006-04,4.2,
2006-07,-2.2,
2006-10,4.1,
2007-01,-3.9,
2007-04,2.6,
2007-07,1.2,
2007-10,1.3,
2008-01,-3.4,
2008-04,4.0,
2008-07,-1.5,
2008-10,7.3,
2009-01,18.2,
2009-04,28.2,
2009-07,-1.0,
2009-10,-15.5,
2010-01,-11.3,
2010-04,6.6,
2010-07,-3.2,
2010-10,2.3,
2011-01,4.0,
2011-04,1.9,
2011-07,0.4,
2011-10,-5.8,
2012-01,5.7,
2012-04,11.2,
2012-07,-4.9,
2012-10,5.3,
2013-01,-13.6,
2013-04,4.1,
2013-07,-3.7,
2013-10,-1.7,
2014-01,-2.1,
