"",BBAI3.Q.DE.N.V.LE.F33.SK.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F33.SK.A1.S.1.N.E.Z_FLAGS
"",Assets / Death benefit funds / Securities other than shares excluding financial derivatives / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:49,
2005-10,314,
2006-01,271,
2006-04,261,
2006-07,249,
2006-10,319,
2007-01,247,
2007-04,256,
2007-07,246,
2007-10,316,
2008-01,252,
2008-04,236,
2008-07,244,
2008-10,323,
2009-01,247,
2009-04,260,
2009-07,275,
2009-10,345,
2010-01,301,
2010-04,308,
2010-07,307,
2010-10,411,
2011-01,342,
2011-04,374,
2011-07,374,
2011-10,470,
2012-01,427,
2012-04,443,
2012-07,462,
2012-10,555,
2013-01,491,
2013-04,499,
2013-07,517,
2013-10,590,
2014-01,552,
2014-04,564,
2014-07,570,
