"",BBFN1.M.DE.N.1.A.PL.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PL.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1986-05,0.007,
1986-06,0.008,
1986-07,0.009,
1986-08,0.008,
1986-09,0.008,
1986-10,0.008,
1986-11,0.006,
1986-12,0.008,
1987-01,0.009,
1987-02,0.010,
1987-03,0.009,
1987-04,0.008,
1987-05,0.009,
1987-06,0.009,
1987-07,0.010,
1987-08,0.009,
1987-09,0.009,
1987-10,0.010,
1987-11,0.010,
1987-12,0.007,
1988-01,0.008,
1988-02,0.007,
1988-03,0.006,
1988-04,0.007,
1988-05,0.007,
1988-06,0.008,
1988-07,0.004,
1988-08,0.005,
1988-09,0.006,
1988-10,0.005,
1988-11,0.005,
1988-12,0.003,
1989-01,0.003,
1989-02,0.002,
1989-03,0.005,
1989-04,0.005,
1989-05,0.005,
1989-06,0.005,
1989-07,0.008,
1989-08,0.007,
1989-09,0.006,
1989-10,0.006,
1989-11,0.005,
1989-12,0.006,
1990-01,0.006,
1990-02,0.007,
1990-03,0.007,
1990-04,0.007,
1990-05,0.008,
1990-06,0.008,
1990-07,0.008,
1990-08,0.009,
1990-09,0.008,
1990-10,0.008,
1990-11,0.010,
1990-12,0.010,
1991-01,0.010,
1991-02,0.011,
1991-03,0.011,
1991-04,0.013,
1991-05,0.013,
1991-06,0.016,
1991-07,0.014,
1991-08,0.012,
1991-09,0.015,
1991-10,0.021,
1991-11,0.022,
1991-12,0.017,
1992-01,0.020,
1992-02,0.029,
1992-03,0.026,
1992-04,0.024,
1992-05,0.023,
1992-06,0.027,
1992-07,0.034,
1992-08,0.036,
1992-09,0.043,
1992-10,0.044,
1992-11,0.051,
1992-12,0.056,
1993-01,0.065,
1993-02,0.055,
1993-03,0.057,
1993-04,0.061,
1993-05,0.065,
1993-06,0.069,
1993-07,0.076,
1993-08,0.084,
1993-09,0.057,
1993-10,0.060,
1993-11,0.063,
1993-12,0.066,
1994-01,0.060,
1994-02,0.054,
1994-03,0.052,
1994-04,0.051,
1994-05,0.062,
1994-06,0.063,
1994-07,0.062,
1994-08,0.056,
1994-09,0.058,
1994-10,0.043,
1994-11,0.043,
1994-12,0.043,
1995-01,0.051,
1995-02,0.053,
1995-03,0.060,
1995-04,0.060,
1995-05,0.061,
1995-06,0.067,
1995-07,0.065,
1995-08,0.072,
1995-09,0.076,
1995-10,0.079,
1995-11,0.082,
1995-12,0.076,
1996-01,0.066,
1996-02,0.071,
1996-03,0.071,
1996-04,0.079,
1996-05,0.081,
1996-06,0.106,
1996-07,0.105,
1996-08,0.115,
1996-09,0.110,
1996-10,0.115,
1996-11,0.123,
1996-12,0.144,
1997-01,0.147,
1997-02,0.160,
1997-03,0.173,
1997-04,0.183,
1997-05,0.182,
1997-06,0.193,
1997-07,0.216,
1997-08,0.260,
1997-09,0.282,
1997-10,0.290,
1997-11,0.255,
1997-12,0.261,
1998-01,0.259,
1998-02,0.277,
1998-03,0.289,
1998-04,0.303,
1998-05,0.310,
1998-06,0.322,
1998-07,0.338,
1998-08,0.413,
1998-09,0.423,
1998-10,0.444,
1998-11,0.450,
1998-12,0.386,
1999-01,0.391,
1999-02,0.424,
1999-03,0.465,
1999-04,0.433,
1999-05,0.446,
1999-06,0.452,
1999-07,0.478,
1999-08,0.478,
1999-09,0.499,
1999-10,0.519,
1999-11,0.563,
1999-12,0.548,
2000-01,0.531,
2000-02,0.573,
2000-03,0.587,
2000-04,0.580,
2000-05,0.582,
2000-06,0.648,
2000-07,0.597,
2000-08,0.606,
2000-09,0.627,
2000-10,0.641,
2000-11,0.640,
2000-12,0.571,
2001-01,0.590,
2001-02,0.566,
2001-03,0.571,
2001-04,0.701,
2001-05,0.721,
2001-06,0.726,
2001-07,0.777,
2001-08,0.741,
2001-09,0.736,
2001-10,0.731,
2001-11,0.765,
2001-12,0.886,
2002-01,0.876,
2002-02,0.856,
2002-03,0.822,
2002-04,0.802,
2002-05,0.796,
2002-06,0.703,
2002-07,0.693,
2002-08,0.742,
2002-09,0.716,
2002-10,0.714,
2002-11,0.698,
2002-12,0.677,
2003-01,0.696,
2003-02,0.702,
2003-03,0.703,
2003-04,0.736,
2003-05,0.748,
2003-06,0.746,
2003-07,0.750,
2003-08,0.758,
2003-09,0.757,
2003-10,0.739,
2003-11,0.812,
2003-12,0.748,
2004-01,0.717,
2004-02,0.711,
2004-03,0.758,
2004-04,0.764,
2004-05,0.752,
2004-06,0.738,
2004-07,0.696,
2004-08,0.681,
2004-09,0.684,
2004-10,0.719,
2004-11,0.732,
2004-12,0.657,
2005-01,0.599,
2005-02,0.604,
2005-03,0.621,
2005-04,0.551,
2005-05,0.556,
2005-06,0.613,
2005-07,0.589,
2005-08,0.601,
2005-09,0.591,
2005-10,0.598,
2005-11,0.568,
2005-12,0.507,
2006-01,0.483,
2006-02,0.577,
2006-03,0.568,
2006-04,0.631,
2006-05,0.649,
2006-06,0.624,
2006-07,0.648,
2006-08,0.649,
2006-09,0.747,
2006-10,0.779,
2006-11,0.722,
2006-12,0.776,
2007-01,0.711,
2007-02,0.749,
2007-03,0.777,
2007-04,0.803,
2007-05,0.780,
2007-06,0.848,
2007-07,0.889,
2007-08,0.908,
2007-09,0.937,
2007-10,0.994,
2007-11,1.005,
2007-12,0.949,
2008-01,0.956,
2008-02,0.993,
2008-03,1.022,
2008-04,1.058,
2008-05,1.078,
2008-06,1.268,
2008-07,1.227,
2008-08,1.149,
2008-09,1.193,
2008-10,1.186,
2008-11,1.249,
2008-12,1.187,
2009-01,1.233,
2009-02,1.204,
2009-03,1.237,
2009-04,1.342,
2009-05,1.402,
2009-06,1.382,
2009-07,1.596,
2009-08,1.675,
2009-09,1.649,
2009-10,1.625,
2009-11,1.366,
2009-12,1.494,
2010-01,1.585,
2010-02,1.482,
2010-03,1.808,
2010-04,1.887,
2010-05,1.794,
2010-06,1.786,
2010-07,1.433,
2010-08,1.554,
2010-09,1.682,
2010-10,1.538,
2010-11,1.395,
2010-12,1.307,
2011-01,1.398,
2011-02,1.519,
2011-03,1.564,
2011-04,1.610,
2011-05,1.731,
2011-06,1.620,
2011-07,1.606,
2011-08,1.602,
2011-09,1.500,
2011-10,1.443,
2011-11,1.528,
2011-12,1.438,
2012-01,1.366,
2012-02,1.420,
2012-03,1.493,
2012-04,1.795,
2012-05,1.835,
2012-06,1.644,
2012-07,1.855,
2012-08,1.788,
2012-09,1.738,
2012-10,1.750,
2012-11,1.787,
2012-12,1.745,
2013-01,1.849,
2013-02,1.797,
2013-03,1.894,
2013-04,1.899,
2013-05,2.006,
2013-06,2.054,
2013-07,2.036,
2013-08,2.084,
2013-09,2.324,
2013-10,2.268,
2013-11,2.251,
2013-12,1.973,
2014-01,1.718,
2014-02,1.633,
2014-03,1.761,
2014-04,1.754,
2014-05,1.814,
2014-06,1.842,
2014-07,2.055,
2014-08,2.004,
2014-09,2.024,
2014-10,1.980,
2014-11,1.967,
2014-12,1.967,
