"",BBSF2.M.1.S.I1251.DAC01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.DAC01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Net sales receipts / Life insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:27,
2009-09,-,Nothing exists
2009-10,-,Nothing exists
2009-11,-,Nothing exists
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,-,Nothing exists
2010-07,-,Nothing exists
2010-08,2,
2010-09,-,Nothing exists
2010-10,11,
2010-11,-,Nothing exists
2010-12,-,Nothing exists
2011-01,-,Nothing exists
2011-02,50,
2011-03,-,Nothing exists
2011-04,50,
2011-05,33,
2011-06,-,Nothing exists
2011-07,9,
2011-08,-,Nothing exists
2011-09,50,
2011-10,1,
2011-11,-,Nothing exists
2011-12,19,
2012-01,-,Nothing exists
2012-02,-,Nothing exists
2012-03,-29,
2012-04,-,Nothing exists
2012-05,-,Nothing exists
2012-06,-,Nothing exists
2012-07,-,Nothing exists
2012-08,9,
2012-09,-,Nothing exists
2012-10,-,Nothing exists
2012-11,-3,
2012-12,12,
2013-01,-,Nothing exists
2013-02,31,
2013-03,-55,
2013-04,24,
2013-05,-,Nothing exists
2013-06,-,Nothing exists
2013-07,15,
2013-08,8,
2013-09,-,Nothing exists
2013-10,10,
2013-11,-,Nothing exists
2013-12,124,
2014-01,0,
2014-02,-,Nothing exists
2014-03,-21,
2014-04,50,
2014-05,-,Nothing exists
2014-06,-,Nothing exists
2014-07,-,Nothing exists
2014-08,-,Nothing exists
2014-09,11,
2014-10,-,Nothing exists
2014-11,-23,
