"",BBAI3.Q.DE.N.V.LE.F29AAA.RV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AAA.RV.A1.S.1.N.E.Z_FLAGS
"",Assets / Reinsurance companies / Deposits up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:56,
2005-10,498,
2006-01,578,
2006-04,616,
2006-07,610,
2006-10,729,
2007-01,685,
2007-04,663,
2007-07,555,
2007-10,641,
2008-01,792,
2008-04,749,
2008-07,706,
2008-10,830,
2009-01,863,
2009-04,626,
2009-07,786,
2009-10,982,
2010-01,812,
2010-04,691,
2010-07,618,
2010-10,598,
2011-01,706,
2011-04,797,
2011-07,963,
2011-10,997,
2012-01,949,
2012-04,949,
2012-07,956,
2012-10,1039,
2013-01,1016,
2013-04,957,
2013-07,914,
2013-10,877,
2014-01,1000,
2014-04,976,
2014-07,872,
