"",BBXL3.M.I7.S.UNEH.TOTAL0.ILO.TOEC.RAT.I00,BBXL3.M.I7.S.UNEH.TOTAL0.ILO.TOEC.RAT.I00_FLAGS
"",Unemployment / Standardised (ILO) / Rate / Euro area 18 (fixed composition) / Seasonally adjusted only,
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 13:18:38,
1998-04,10.5,
1998-05,10.4,
1998-06,10.4,
1998-07,10.3,
1998-08,10.2,
1998-09,10.2,
1998-10,10.1,
1998-11,10.1,
1998-12,10.0,
1999-01,9.9,
1999-02,9.9,
1999-03,9.8,
1999-04,9.8,
1999-05,9.7,
1999-06,9.6,
1999-07,9.6,
1999-08,9.5,
1999-09,9.4,
1999-10,9.4,
1999-11,9.3,
1999-12,9.2,
2000-01,9.2,
2000-02,9.1,
2000-03,9.0,
2000-04,8.9,
2000-05,8.8,
2000-06,8.8,
2000-07,8.7,
2000-08,8.6,
2000-09,8.6,
2000-10,8.4,
2000-11,8.4,
2000-12,8.3,
2001-01,8.2,
2001-02,8.2,
2001-03,8.1,
2001-04,8.1,
2001-05,8.1,
2001-06,8.1,
2001-07,8.1,
2001-08,8.1,
2001-09,8.1,
2001-10,8.2,
2001-11,8.2,
2001-12,8.2,
2002-01,8.2,
2002-02,8.3,
2002-03,8.3,
2002-04,8.4,
2002-05,8.4,
2002-06,8.5,
2002-07,8.5,
2002-08,8.6,
2002-09,8.6,
2002-10,8.7,
2002-11,8.7,
2002-12,8.8,
2003-01,8.9,
2003-02,8.9,
2003-03,9.0,
2003-04,9.0,
2003-05,9.0,
2003-06,9.0,
2003-07,9.0,
2003-08,9.0,
2003-09,9.0,
2003-10,9.0,
2003-11,9.0,
2003-12,9.1,
2004-01,9.2,
2004-02,9.2,
2004-03,9.2,
2004-04,9.2,
2004-05,9.2,
2004-06,9.2,
2004-07,9.2,
2004-08,9.2,
2004-09,9.2,
2004-10,9.2,
2004-11,9.2,
2004-12,9.2,
2005-01,9.1,
2005-02,9.1,
2005-03,9.1,
2005-04,9.1,
2005-05,9.1,
2005-06,9.1,
2005-07,9.1,
2005-08,9.0,
2005-09,9.0,
2005-10,9.0,
2005-11,8.9,
2005-12,8.9,
2006-01,8.8,
2006-02,8.7,
2006-03,8.6,
2006-04,8.5,
2006-05,8.5,
2006-06,8.3,
2006-07,8.2,
2006-08,8.2,
2006-09,8.2,
2006-10,8.1,
2006-11,8.0,
2006-12,7.9,
2007-01,7.8,
2007-02,7.7,
2007-03,7.6,
2007-04,7.5,
2007-05,7.5,
2007-06,7.5,
2007-07,7.5,
2007-08,7.5,
2007-09,7.4,
2007-10,7.4,
2007-11,7.3,
2007-12,7.3,
2008-01,7.3,
2008-02,7.3,
2008-03,7.2,
2008-04,7.4,
2008-05,7.4,
2008-06,7.5,
2008-07,7.5,
2008-08,7.6,
2008-09,7.6,
2008-10,7.8,
2008-11,8.0,
2008-12,8.3,
2009-01,8.6,
2009-02,8.9,
2009-03,9.2,
2009-04,9.4,
2009-05,9.4,
2009-06,9.6,
2009-07,9.7,
2009-08,9.8,
2009-09,9.9,
2009-10,10.0,
2009-11,10.0,
2009-12,10.0,
2010-01,10.0,
2010-02,10.1,
2010-03,10.1,
2010-04,10.1,
2010-05,10.2,
2010-06,10.1,
2010-07,10.1,
2010-08,10.1,
2010-09,10.1,
2010-10,10.1,
2010-11,10.0,
2010-12,10.0,
2011-01,10.0,
2011-02,9.9,
2011-03,9.9,
2011-04,9.8,
2011-05,9.9,
2011-06,9.9,
2011-07,10.0,
2011-08,10.2,
2011-09,10.3,
2011-10,10.4,
2011-11,10.6,
2011-12,10.6,
2012-01,10.7,
2012-02,10.9,
2012-03,11.0,
2012-04,11.2,
2012-05,11.2,
2012-06,11.4,
2012-07,11.4,
2012-08,11.4,
2012-09,11.5,
2012-10,11.7,
2012-11,11.8,
2012-12,11.8,
2013-01,12.0,
2013-02,12.0,
2013-03,12.0,
2013-04,12.0,
2013-05,12.0,
2013-06,12.0,
2013-07,12.0,
2013-08,12.0,
2013-09,12.0,
2013-10,11.9,
2013-11,11.9,
2013-12,11.8,
2014-01,11.8,
2014-02,11.8,
2014-03,11.7,
2014-04,11.6,
2014-05,11.6,
2014-06,11.5,
2014-07,11.6,
2014-08,11.5,
2014-09,11.5,
2014-10,11.5,
2014-11,11.5,
2014-12,11.4,
"",Source: EUROSTAT.,
"",Methodology: Unemployed (as defined by the ILO) as a percentage of the civilian labour force based on surveys of households.,
