"",BBNZ1.A.DE.N.H.0106.L,BBNZ1.A.DE.N.H.0106.L_FLAGS
"","Germany / National accounts / Use of gross domestic product / Government consumption (price adjusted) 1, 2, 3",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:42:43,
1950,12.81,
1951,13.90,
1952,15.08,
1953,15.92,
1954,16.76,
1955,17.96,
1956,19.35,
1957,21.50,
1958,24.11,
1959,26.03,
1960,27.71,
1961,29.41,
1962,32.20,
1963,34.19,
1964,34.81,
1965,36.51,
1966,37.69,
1967,39.06,
1968,39.28,
1969,40.98,
1970,42.75,
1971,45.47,
1972,47.71,
1973,50.66,
1974,53.48,
1975,55.88,
1976,57.06,
1977,58.27,
1978,60.69,
1979,63.10,
1980,65.29,
1981,68.28,
1982,67.57,
1983,67.25,
1984,68.07,
1985,68.63,
1986,69.61,
1987,70.04,
1988,71.07,
1989,69.56,
1990,70.96,
1991,73.31,
1992,77.33,
1993,77.74,
1994,80.17,
1995,81.99,
1996,84.07,
1997,84.78,
1998,86.59,
1999,87.58,
2000,88.76,
2001,89.22,
2002,90.30,
2003,90.76,
2004,90.05,
2005,90.48,
2006,91.38,
2007,92.74,
2008,95.86,
2009,98.72,
2010,100.00,
2011,100.67,
2012,101.92,
2013,102.66,
2014,103.83,
"","General: 1 Source of the original data: Bundesbank calculations up to 1959 and Federal Statistical Office as of 1960. - 2 Territorial definition: Germany as of 1991, prior to that western Germany. Linked over annual average of 1991 (Bundesbank calculation). Figures up to 1959 include additional estimates for Saarland and West Berlin. - 3 Methodology: At constant prices prior to 1970, at previous-year prices as of 1970. Figures at previous-year prices are chain-linked Laspeyres indices (annual overlap). As of 1970 up to the end of 1990, data basis according to ESA 1995. As of 1991, data basis according to ESA 2010.",
