"",BBAI3.Q.DE.N.V.LE.F331.KV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F331.KV.A1.S.1.N.E.Z_FLAGS
"",Assets / Health insurance companies / Securities other than shares excluding financial derivatives up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:34,
2005-10,196,
2006-01,62,
2006-04,59,
2006-07,71,
2006-10,103,
2007-01,185,
2007-04,226,
2007-07,116,
2007-10,187,
2008-01,199,
2008-04,162,
2008-07,165,
2008-10,253,
2009-01,174,
2009-04,196,
2009-07,130,
2009-10,214,
2010-01,176,
2010-04,243,
2010-07,261,
2010-10,374,
2011-01,216,
2011-04,208,
2011-07,336,
2011-10,273,
2012-01,346,
2012-04,398,
2012-07,517,
2012-10,503,
2013-01,547,
2013-04,412,
2013-07,407,
2013-10,443,
2014-01,524,
2014-04,422,
2014-07,396,
