"",BBSF2.M.1.S.00000.GEL01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.GEL01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
1985-02,-,Nothing exists
1985-03,-,Nothing exists
1985-04,-,Nothing exists
1985-05,-,Nothing exists
1985-06,-,Nothing exists
1985-07,-,Nothing exists
1985-08,-,Nothing exists
1985-09,-,Nothing exists
1985-10,-,Nothing exists
1985-11,-,Nothing exists
1985-12,-,Nothing exists
1986-01,-,Nothing exists
1986-02,-,Nothing exists
1986-03,-,Nothing exists
1986-04,-,Nothing exists
1986-05,-,Nothing exists
1986-06,-,Nothing exists
1986-07,-,Nothing exists
1986-08,-,Nothing exists
1986-09,-,Nothing exists
1986-10,-,Nothing exists
1986-11,-,Nothing exists
1986-12,-,Nothing exists
1987-01,-,Nothing exists
1987-02,-,Nothing exists
1987-03,-,Nothing exists
1987-04,-,Nothing exists
1987-05,-,Nothing exists
1987-06,-,Nothing exists
1987-07,-,Nothing exists
1987-08,-,Nothing exists
1987-09,-,Nothing exists
1987-10,-,Nothing exists
1987-11,-,Nothing exists
1987-12,-,Nothing exists
1988-01,-,Nothing exists
1988-02,-,Nothing exists
1988-03,-,Nothing exists
1988-04,-,Nothing exists
1988-05,-,Nothing exists
1988-06,-,Nothing exists
1988-07,-,Nothing exists
1988-08,-,Nothing exists
1988-09,-,Nothing exists
1988-10,-,Nothing exists
1988-11,-,Nothing exists
1988-12,-,Nothing exists
1989-01,-,Nothing exists
1989-02,-,Nothing exists
1989-03,-,Nothing exists
1989-04,-,Nothing exists
1989-05,-,Nothing exists
1989-06,-,Nothing exists
1989-07,-,Nothing exists
1989-08,-,Nothing exists
1989-09,-,Nothing exists
1989-10,-,Nothing exists
1989-11,-,Nothing exists
1989-12,-,Nothing exists
1990-01,-,Nothing exists
1990-02,-,Nothing exists
1990-03,-,Nothing exists
1990-04,-,Nothing exists
1990-05,-,Nothing exists
1990-06,-,Nothing exists
1990-07,-,Nothing exists
1990-08,-,Nothing exists
1990-09,-,Nothing exists
1990-10,-,Nothing exists
1990-11,-,Nothing exists
1990-12,-,Nothing exists
1991-01,-,Nothing exists
1991-02,-,Nothing exists
1991-03,-,Nothing exists
1991-04,-,Nothing exists
1991-05,-,Nothing exists
1991-06,-,Nothing exists
1991-07,-,Nothing exists
1991-08,-,Nothing exists
1991-09,-,Nothing exists
1991-10,-,Nothing exists
1991-11,-,Nothing exists
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,-,Nothing exists
1994-09,-,Nothing exists
1994-10,-,Nothing exists
1994-11,-,Nothing exists
1994-12,-,Nothing exists
1995-01,-,Nothing exists
1995-02,-,Nothing exists
1995-03,-,Nothing exists
1995-04,-,Nothing exists
1995-05,-,Nothing exists
1995-06,-,Nothing exists
1995-07,-,Nothing exists
1995-08,-,Nothing exists
1995-09,-,Nothing exists
1995-10,4,
1995-11,-,Nothing exists
1995-12,3,
1996-01,13,
1996-02,13,
1996-03,13,
1996-04,13,
1996-05,13,
1996-06,14,
1996-07,60,
1996-08,60,
1996-09,23,
1996-10,-,Nothing exists
1996-11,-,Nothing exists
1996-12,-,Nothing exists
1997-01,0,
1997-02,1,
1997-03,1,
1997-04,1,
1997-05,1,
1997-06,0,
1997-07,1,
1997-08,21,
1997-09,30,
1997-10,46,
1997-11,46,
1997-12,48,
1998-01,45,
1998-02,44,
1998-03,49,
1998-04,52,
1998-05,59,
1998-06,54,
1998-07,52,
1998-08,57,
1998-09,52,
1998-10,46,
1998-11,41,
1998-12,38,
1999-01,38,
1999-02,28,
1999-03,23,
1999-04,18,
1999-05,13,
1999-06,5,
1999-07,5,
1999-08,5,
1999-09,5,
1999-10,-,Nothing exists
1999-11,-,Nothing exists
1999-12,-,Nothing exists
2000-01,-,Nothing exists
2000-02,-,Nothing exists
2000-03,-,Nothing exists
2000-04,-,Nothing exists
2000-05,-,Nothing exists
2000-06,-,Nothing exists
2000-07,-,Nothing exists
2000-08,-,Nothing exists
2000-09,-,Nothing exists
2000-10,-,Nothing exists
2000-11,-,Nothing exists
2000-12,-,Nothing exists
2001-01,-,Nothing exists
2001-02,-,Nothing exists
2001-03,-,Nothing exists
2001-04,-,Nothing exists
2001-05,-,Nothing exists
2001-06,-,Nothing exists
2001-07,-,Nothing exists
2001-08,-,Nothing exists
2001-09,-,Nothing exists
2001-10,-,Nothing exists
2001-11,-,Nothing exists
2001-12,-,Nothing exists
2002-01,185,
2002-02,131,
2002-03,100,
2002-04,97,
2002-05,-,Nothing exists
2002-06,-,Nothing exists
2002-07,-,Nothing exists
2002-08,-,Nothing exists
2002-09,-,Nothing exists
2002-10,359,
2002-11,265,
2002-12,50,
2003-01,348,
2003-02,438,
2003-03,409,
2003-04,439,
2003-05,419,
2003-06,424,
2003-07,434,
2003-08,414,
2003-09,414,
2003-10,359,
2003-11,431,
2003-12,429,
2004-01,210,
2004-02,419,
2004-03,439,
2004-04,439,
2004-05,583,
2004-06,629,
2004-07,625,
2004-08,647,
2004-09,606,
2004-10,454,
2004-11,465,
2004-12,475,
2005-01,462,
2005-02,496,
2005-03,655,
2005-04,451,
2005-05,482,
2005-06,576,
2005-07,616,
2005-08,645,
2005-09,655,
2005-10,610,
2005-11,667,
2005-12,282,
2006-01,240,
2006-02,214,
2006-03,245,
2006-04,250,
2006-05,299,
2006-06,341,
2006-07,347,
2006-08,350,
2006-09,99,
2006-10,99,
2006-11,64,
2006-12,64,
2007-01,94,
2007-02,99,
2007-03,99,
2007-04,99,
2007-05,465,
2007-06,445,
2007-07,450,
2007-08,442,
2007-09,99,
2007-10,99,
2007-11,85,
2007-12,100,
2008-01,70,
2008-02,50,
2008-03,50,
2008-04,25,
2008-05,25,
2008-06,25,
2008-07,20,
2008-08,21,
2008-09,21,
2008-10,-,Nothing exists
2008-11,-,Nothing exists
2008-12,-,Nothing exists
2009-01,-,Nothing exists
2009-02,-,Nothing exists
2009-03,10,
2009-04,-,Nothing exists
2009-05,-,Nothing exists
2009-06,-,Nothing exists
2009-07,-,Nothing exists
2009-08,-,Nothing exists
2009-09,102,
2009-10,116,
2009-11,121,
2009-12,140,
2010-01,65,
2010-02,51,
2010-03,149,
2010-04,151,
2010-05,224,
2010-06,225,
2010-07,182,
2010-08,185,
2010-09,177,
2010-10,176,
2010-11,182,
2010-12,191,
2011-01,201,
2011-02,202,
2011-03,256,
2011-04,266,
2011-05,258,
2011-06,216,
2011-07,193,
2011-08,256,
2011-09,243,
2011-10,234,
2011-11,325,
2011-12,337,
2012-01,355,
2012-02,338,
2012-03,249,
2012-04,249,
2012-05,266,
2012-06,301,
2012-07,428,
2012-08,426,
2012-09,334,
2012-10,333,
2012-11,390,
2012-12,381,
2013-01,528,
2013-02,536,
2013-03,594,
2013-04,1327,
2013-05,1312,
2013-06,1286,
2013-07,1264,
2013-08,1267,
2013-09,1238,
2013-10,929,
2013-11,939,
2013-12,1035,
2014-01,1051,
2014-02,1044,
2014-03,1037,
2014-04,1033,
2014-05,991,
2014-06,989,
2014-07,904,
2014-08,1023,
2014-09,1060,
2014-10,1067,
2014-11,985,
