"",BBAI3.Q.DE.N.V.BF90.F.LV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.BF90.F.LV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Life insurance companies / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Net worth,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:16,
2005-10,18655,
2006-01,19966,
2006-04,14599,
2006-07,20085,
2006-10,19466,
2007-01,18129,
2007-04,16858,
2007-07,17293,
2007-10,26892,
2008-01,4084,
2008-04,-776,
2008-07,-5756,
2008-10,-1685,
2009-01,-4748,
2009-04,1440,
2009-07,11184,
2009-10,10141,
2010-01,13922,
2010-04,14580,
2010-07,21562,
2010-10,11509,
2011-01,5836,
2011-04,8122,
2011-07,10436,
2011-10,10823,
2012-01,18545,
2012-04,21047,
2012-07,32875,
2012-10,38421,
2013-01,35490,
2013-04,26558,
2013-07,27130,
2013-10,25534,
2014-01,37095,
2014-04,52103,
2014-07,64041,
