"",BBK01.CEFXDK,BBK01.CEFXDK_FLAGS
"",Life insurance and annuity entitlements  debtor: Insurance corporations                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:40,
1999-01,458.8,
1999-04,466.6,
1999-07,475.6,
1999-10,485.6,
2000-01,497.8,
2000-04,505.4,
2000-07,513.8,
2000-10,520.9,
2001-01,532.8,
2001-04,539.7,
2001-07,548.3,
2001-10,550.0,
2002-01,561.9,
2002-04,568.8,
2002-07,576.8,
2002-10,566.9,
2003-01,577.4,
2003-04,583.9,
2003-07,590.8,
2003-10,590.8,
2004-01,599.5,
2004-04,605.3,
2004-07,611.3,
2004-10,612.2,
2005-01,621.1,
2005-04,627.2,
2005-07,633.5,
2005-10,641.1,
2006-01,648.3,
2006-04,655.5,
2006-07,662.8,
2006-10,670.0,
2007-01,677.0,
2007-04,683.9,
2007-07,690.9,
2007-10,697.3,
2008-01,697.2,
2008-04,697.0,
2008-07,696.9,
2008-10,696.5,
2009-01,705.1,
2009-04,713.7,
2009-07,722.3,
2009-10,730.8,
2010-01,740.3,
2010-04,749.6,
2010-07,758.8,
2010-10,768.0,
2011-01,770.6,
2011-04,773.1,
2011-07,775.6,
2011-10,777.9,
2012-01,786.8,
2012-04,795.5,
2012-07,804.3,
2012-10,813.1,
2013-01,822.7,
2013-04,832.3,
2013-07,841.8,
2013-10,851.3,
2014-01,865.6,
2014-04,872.3,
2014-07,876.1,
