"",BBK01.CEHFN0,BBK01.CEHFN0_FLAGS
"",longer-term loans debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:38,
1991-01,4.5,
1991-04,2.4,
1991-07,1.8,
1991-10,1.5,
1992-01,1.8,
1992-04,2.7,
1992-07,2.2,
1992-10,3.6,
1993-01,0.8,
1993-04,2.2,
1993-07,0.4,
1993-10,3.7,
1994-01,1.6,
1994-04,1.9,
1994-07,1.7,
1994-10,2.3,
1995-01,0.8,
1995-04,1.3,
1995-07,1.9,
1995-10,4.6,
1996-01,2.1,
1996-04,0.3,
1996-07,1.7,
1996-10,4.0,
1997-01,4.8,
1997-04,6.6,
1997-07,5.0,
1997-10,9.2,
1998-01,8.4,
1998-04,6.1,
1998-07,9.4,
1998-10,12.2,
1999-01,11.5,
1999-04,11.3,
1999-07,8.9,
1999-10,9.1,
2000-01,3.8,
2000-04,11.4,
2000-07,7.7,
2000-10,16.0,
2001-01,10.0,
2001-04,8.3,
2001-07,5.9,
2001-10,11.3,
2002-01,15.6,
2002-04,4.2,
2002-07,0.6,
2002-10,3.3,
2003-01,10.1,
2003-04,-1.1,
2003-07,0.0,
2003-10,1.8,
2004-01,-0.2,
2004-04,3.3,
2004-07,-1.4,
2004-10,-1.4,
2005-01,5.8,
2005-04,1.3,
2005-07,-1.5,
2005-10,1.8,
2006-01,6.3,
2006-04,5.0,
2006-07,-1.0,
2006-10,6.3,
2007-01,5.2,
2007-04,19.4,
2007-07,21.4,
2007-10,3.5,
2008-01,17.8,
2008-04,33.1,
2008-07,25.4,
2008-10,8.9,
2009-01,-0.2,
2009-04,0.0,
2009-07,8.5,
2009-10,3.6,
2010-01,5.5,
2010-04,14.9,
2010-07,-3.4,
2010-10,28.5,
2011-01,-3.6,
2011-04,-3.7,
2011-07,5.9,
2011-10,8.0,
2012-01,11.7,
2012-04,11.5,
2012-07,1.8,
2012-10,28.2,
2013-01,1.2,
2013-04,14.6,
2013-07,-3.5,
2013-10,-1.3,
2014-01,-1.1,
