"",BBFN1.M.DE.N.1.L.LI.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.LI.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
1993-09,0.000,
1993-10,0.000,
1993-11,0.000,
1993-12,.,No value available
1994-01,0.000,
1994-02,0.000,
1994-03,0.000,
1994-04,0.000,
1994-05,0.000,
1994-06,0.000,
1994-07,0.000,
1994-08,0.000,
1994-09,0.000,
1994-10,0.000,
1994-11,0.000,
1994-12,.,No value available
1995-01,0.000,
1995-02,0.000,
1995-03,0.000,
1995-04,0.000,
1995-05,0.000,
1995-06,0.000,
1995-07,0.000,
1995-08,0.000,
1995-09,0.000,
1995-10,0.000,
1995-11,0.000,
1995-12,0.639,
1996-01,0.639,
1996-02,0.639,
1996-03,0.639,
1996-04,0.639,
1996-05,0.639,
1996-06,0.665,
1996-07,0.645,
1996-08,0.651,
1996-09,0.647,
1996-10,0.662,
1996-11,0.643,
1996-12,0.551,
1997-01,0.505,
1997-02,0.469,
1997-03,0.463,
1997-04,0.471,
1997-05,0.451,
1997-06,0.467,
1997-07,0.454,
1997-08,0.456,
1997-09,0.452,
1997-10,0.441,
1997-11,0.454,
1997-12,0.453,
1998-01,0.493,
1998-02,0.579,
1998-03,0.572,
1998-04,0.542,
1998-05,0.523,
1998-06,0.707,
1998-07,0.552,
1998-08,0.549,
1998-09,0.466,
1998-10,0.448,
1998-11,0.462,
1998-12,0.476,
1999-01,0.498,
1999-02,0.543,
1999-03,0.509,
1999-04,0.498,
1999-05,0.471,
1999-06,0.525,
1999-07,0.495,
1999-08,0.498,
1999-09,0.526,
1999-10,0.452,
1999-11,0.459,
1999-12,0.453,
2000-01,0.513,
2000-02,0.531,
2000-03,0.505,
2000-04,0.515,
2000-05,0.520,
2000-06,0.502,
2000-07,0.501,
2000-08,0.486,
2000-09,0.521,
2000-10,0.629,
2000-11,0.581,
2000-12,0.668,
2001-01,0.654,
2001-02,0.655,
2001-03,0.648,
2001-04,0.659,
2001-05,0.664,
2001-06,0.668,
2001-07,0.661,
2001-08,0.659,
2001-09,0.677,
2001-10,0.643,
2001-11,0.648,
2001-12,0.644,
2002-01,0.674,
2002-02,0.643,
2002-03,0.677,
2002-04,0.663,
2002-05,0.685,
2002-06,0.691,
2002-07,0.657,
2002-08,0.664,
2002-09,0.688,
2002-10,0.618,
2002-11,0.621,
2002-12,0.640,
2003-01,0.610,
2003-02,0.606,
2003-03,0.618,
2003-04,0.584,
2003-05,0.641,
2003-06,0.613,
2003-07,0.630,
2003-08,0.608,
2003-09,0.618,
2003-10,0.573,
2003-11,0.807,
2003-12,0.447,
2004-01,0.493,
2004-02,0.451,
2004-03,0.467,
2004-04,0.471,
2004-05,0.472,
2004-06,0.500,
2004-07,0.504,
2004-08,0.502,
2004-09,0.525,
2004-10,0.521,
2004-11,0.525,
2004-12,0.604,
2005-01,0.539,
2005-02,0.532,
2005-03,0.534,
2005-04,0.586,
2005-05,0.616,
2005-06,0.533,
2005-07,0.606,
2005-08,0.619,
2005-09,0.621,
2005-10,0.664,
2005-11,0.670,
2005-12,0.673,
2006-01,0.631,
2006-02,0.633,
2006-03,0.630,
2006-04,0.640,
2006-05,0.639,
2006-06,0.471,
2006-07,0.654,
2006-08,0.821,
2006-09,0.853,
2006-10,0.842,
2006-11,0.839,
2006-12,0.817,
2007-01,0.813,
2007-02,0.823,
2007-03,0.839,
2007-04,0.839,
2007-05,0.832,
2007-06,0.817,
2007-07,0.827,
2007-08,0.809,
2007-09,0.824,
2007-10,0.809,
2007-11,0.798,
2007-12,0.805,
2008-01,0.805,
2008-02,0.810,
2008-03,0.469,
2008-04,0.696,
2008-05,0.700,
2008-06,0.691,
2008-07,0.662,
2008-08,0.648,
2008-09,0.736,
2008-10,0.693,
2008-11,0.767,
2008-12,0.780,
2009-01,0.748,
2009-02,0.719,
2009-03,0.715,
2009-04,0.716,
2009-05,0.718,
2009-06,0.814,
2009-07,0.669,
2009-08,0.642,
2009-09,0.676,
2009-10,0.690,
2009-11,0.703,
2009-12,0.677,
2010-01,0.681,
2010-02,0.691,
2010-03,0.695,
2010-04,0.737,
2010-05,0.703,
2010-06,0.738,
2010-07,0.735,
2010-08,0.744,
2010-09,0.594,
2010-10,0.611,
2010-11,0.612,
2010-12,1.295,
2011-01,1.288,
2011-02,1.401,
2011-03,1.296,
2011-04,1.373,
2011-05,1.394,
2011-06,1.110,
2011-07,1.115,
2011-08,1.106,
2011-09,1.043,
2011-10,0.961,
2011-11,0.957,
2011-12,0.987,
2012-01,0.955,
2012-02,0.960,
2012-03,0.940,
2012-04,0.936,
2012-05,0.909,
2012-06,0.936,
2012-07,0.933,
2012-08,0.839,
2012-09,0.870,
2012-10,0.834,
2012-11,0.815,
2012-12,0.785,
2013-01,0.765,
2013-02,0.763,
2013-03,0.782,
2013-04,0.791,
2013-05,0.775,
2013-06,0.914,
2013-07,0.909,
2013-08,0.907,
2013-09,0.786,
2013-10,0.927,
2013-11,0.903,
2013-12,0.337,
2014-01,0.342,
2014-02,0.356,
2014-03,0.340,
2014-04,0.338,
2014-05,0.345,
2014-06,0.331,
2014-07,0.335,
2014-08,0.325,
2014-09,0.353,
2014-10,0.341,
2014-11,0.302,
2014-12,0.778,
