"",BBK01.CEBP0B,BBK01.CEBP0B_FLAGS
"",Time deposits debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:37,
1991-01,149.6,
1991-04,151.3,
1991-07,153.5,
1991-10,154.4,
1992-01,160.2,
1992-04,161.2,
1992-07,162.2,
1992-10,164.4,
1993-01,171.7,
1993-04,174.0,
1993-07,178.1,
1993-10,183.8,
1994-01,194.9,
1994-04,200.4,
1994-07,207.1,
1994-10,210.6,
1995-01,221.5,
1995-04,227.6,
1995-07,234.3,
1995-10,238.3,
1996-01,251.0,
1996-04,260.5,
1996-07,267.2,
1996-10,267.1,
1997-01,277.3,
1997-04,281.9,
1997-07,284.2,
1997-10,287.6,
1998-01,298.2,
1998-04,300.3,
1998-07,304.0,
1998-10,303.2,
1999-01,314.1,
1999-04,316.0,
1999-07,325.1,
1999-10,334.0,
2000-01,346.1,
2000-04,349.1,
2000-07,349.9,
2000-10,353.3,
2001-01,359.6,
2001-04,362.8,
2001-07,366.5,
2001-10,369.5,
2002-01,373.7,
2002-04,373.6,
2002-07,376.5,
2002-10,383.5,
2003-01,391.9,
2003-04,392.5,
2003-07,399.2,
2003-10,401.6,
2004-01,412.8,
2004-04,421.3,
2004-07,429.1,
2004-10,440.8,
2005-01,453.9,
2005-04,454.5,
2005-07,456.7,
2005-10,457.9,
2006-01,466.3,
2006-04,475.1,
2006-07,485.3,
2006-10,490.8,
2007-01,502.1,
2007-04,512.5,
2007-07,519.2,
2007-10,531.1,
2008-01,541.8,
2008-04,545.2,
2008-07,545.7,
2008-10,544.4,
2009-01,555.6,
2009-04,556.4,
2009-07,559.3,
2009-10,556.5,
2010-01,557.5,
2010-04,551.4,
2010-07,547.7,
2010-10,543.6,
2011-01,547.6,
2011-04,548.0,
2011-07,549.8,
2011-10,542.9,
2012-01,539.9,
2012-04,535.0,
2012-07,534.4,
2012-10,526.3,
2013-01,524.3,
2013-04,522.1,
2013-07,514.3,
2013-10,510.8,
2014-01,505.5,
