"",BBK01.CEH50B,BBK01.CEH50B_FLAGS
"",Shares and other equity debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:23,
1991-01,2.6,
1991-04,1.6,
1991-07,1.8,
1991-10,2.7,
1992-01,4.9,
1992-04,-2.4,
1992-07,7.6,
1992-10,2.3,
1993-01,2.4,
1993-04,-1.3,
1993-07,8.8,
1993-10,4.4,
1994-01,5.1,
1994-04,3.2,
1994-07,2.8,
1994-10,2.3,
1995-01,5.7,
1995-04,2.0,
1995-07,2.4,
1995-10,6.1,
1996-01,9.0,
1996-04,4.3,
1996-07,3.0,
1996-10,10.3,
1997-01,13.1,
1997-04,6.7,
1997-07,9.1,
1997-10,17.7,
1998-01,11.1,
1998-04,12.8,
1998-07,10.2,
1998-10,15.6,
1999-01,11.4,
1999-04,5.9,
1999-07,6.9,
1999-10,16.5,
2000-01,11.1,
2000-04,12.5,
2000-07,11.8,
2000-10,8.4,
2001-01,13.0,
2001-04,5.2,
2001-07,8.7,
2001-10,22.8,
2002-01,26.3,
2002-04,13.8,
2002-07,6.2,
2002-10,-1.6,
2003-01,-4.6,
2003-04,5.0,
2003-07,2.6,
2003-10,5.7,
2004-01,-0.8,
2004-04,-3.5,
2004-07,-3.2,
2004-10,-4.7,
2005-01,7.5,
2005-04,2.3,
2005-07,7.6,
2005-10,19.7,
2006-01,2.2,
2006-04,10.7,
2006-07,-2.5,
2006-10,23.2,
2007-01,2.9,
2007-04,3.9,
2007-07,12.4,
2007-10,15.8,
2008-01,0.4,
2008-04,-0.4,
2008-07,11.6,
2008-10,7.6,
2009-01,-2.1,
2009-04,-3.6,
2009-07,-6.0,
2009-10,7.0,
2010-01,17.9,
2010-04,5.6,
2010-07,14.0,
2010-10,22.9,
2011-01,11.7,
2011-04,11.9,
2011-07,10.2,
2011-10,18.1,
2012-01,20.0,
2012-04,2.7,
2012-07,-3.2,
2012-10,33.5,
2013-01,23.4,
2013-04,9.1,
2013-07,11.6,
2013-10,17.1,
2014-01,20.8,
