"",BBDP1.A.DE.N.EPG.G.GP09SA000000.I10.L,BBDP1.A.DE.N.EPG.G.GP09SA000000.I10.L_FLAGS
"",Index of producer prices of industrial products sold on the domestic market / Germany / Unadjusted figure / Total,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-20 08:00:25,
1949,27.8,
1950,27.1,
1951,32.1,
1952,32.8,
1953,32.0,
1954,31.5,
1955,32.1,
1956,32.6,
1957,33.2,
1958,33.0,
1959,32.8,
1960,33.2,
1961,33.7,
1962,33.9,
1963,34.1,
1964,34.6,
1965,35.4,
1966,35.9,
1967,35.5,
1968,35.4,
1969,36.0,
1970,37.8,
1971,39.4,
1972,40.5,
1973,43.1,
1974,48.9,
1975,51.2,
1976,53.1,
1977,54.6,
1978,55.2,
1979,57.8,
1980,62.1,
1981,67.0,
1982,70.9,
1983,72.0,
1984,74.1,
1985,75.8,
1986,73.9,
1987,72.2,
1988,73.0,
1989,75.3,
1990,76.7,
1991,78.5,
1992,79.6,
1993,79.6,
1994,80.0,
1995,81.4,
1996,80.4,
1997,81.4,
1998,81.0,
1999,80.2,
2000,82.6,
2001,85.1,
2002,84.6,
2003,86.0,
2004,87.4,
2005,91.2,
2006,96.2,
2007,97.5,
2008,102.8,
2009,98.5,
2010,100.0,
2011,105.3,
2012,107.0,
2013,106.9,
2014,105.8,
"",Source: Federal Statistical Office.,
"","Methodology: Western Germany up to 1994 (up to 1959 excluding Saarland and up to 1960 excluding West Berlin), afterwards Germany (linked over January 1995; Bundesbank calculation). Figure for 1948: 2nd half of the year. Up to 1967 including turnover tax. As of 1968 without VAT.",
