"",BBAI3.Q.DE.N.V.LE.F51.RV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F51.RV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Reinsurance companies / Shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:39,
2005-10,105742,
2006-01,102580,
2006-04,95681,
2006-07,112720,
2006-10,123691,
2007-01,128010,
2007-04,139072,
2007-07,133413,
2007-10,127857,
2008-01,113503,
2008-04,105296,
2008-07,95307,
2008-10,81155,
2009-01,64721,
2009-04,65455,
2009-07,80377,
2009-10,81694,
2010-01,85929,
2010-04,75667,
2010-07,74740,
2010-10,79691,
2011-01,83530,
2011-04,78973,
2011-07,62161,
2011-10,64246,
2012-01,76799,
2012-04,70402,
2012-07,80973,
2012-10,91323,
2013-01,96373,
2013-04,97921,
2013-07,100925,
2013-10,112531,
2014-01,107682,
2014-04,104140,
2014-07,106026,
