"",BBAI3.Q.DE.N.V.LE.F62.KV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F62.KV.A1.S.1.N.E.Z_FLAGS
"",Assets / Health insurance companies / Prepayments of insurance premiums and res. for outstanding claims / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:38,
2005-10,952,
2006-01,963,
2006-04,974,
2006-07,986,
2006-10,997,
2007-01,1008,
2007-04,1019,
2007-07,1031,
2007-10,1042,
2008-01,1047,
2008-04,1052,
2008-07,1057,
2008-10,1061,
2009-01,1068,
2009-04,1076,
2009-07,1083,
2009-10,1090,
2010-01,1085,
2010-04,1079,
2010-07,1073,
2010-10,1068,
2011-01,1064,
2011-04,1061,
2011-07,1057,
2011-10,1053,
2012-01,1047,
2012-04,1040,
2012-07,1033,
2012-10,1027,
2013-01,30,
2013-04,23,
2013-07,17,
2013-10,13,
2014-01,13,
2014-04,13,
2014-07,14,
