"",BBK01.SUD258,BBK01.SUD258_FLAGS
"","New business (volumes) of German banks / Housing loans to households with collateral and/or guarantees, floating rate or initial rate fixation up to 1 year",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:27:05,
2010-06,707,
2010-07,1009,
2010-08,840,
2010-09,786,
2010-10,1241,
2010-11,844,
2010-12,1055,
2011-01,1431,
2011-02,916,
2011-03,1077,
2011-04,1330,
2011-05,1093,
2011-06,994,
2011-07,1652,
2011-08,1009,
2011-09,900,
2011-10,1143,
2011-11,893,
2011-12,999,
2012-01,1181,
2012-02,1040,
2012-03,863,
2012-04,1006,
2012-05,970,
2012-06,862,
2012-07,1104,
2012-08,981,
2012-09,845,
2012-10,1071,
2012-11,834,
2012-12,976,
2013-01,1244,
2013-02,824,
2013-03,929,
2013-04,1170,
2013-05,907,
2013-06,958,
2013-07,1236,
2013-08,979,
2013-09,860,
2013-10,1219,
2013-11,801,
2013-12,895,
2014-01,1079,
2014-02,1276,
2014-03,954,
2014-04,1159,
2014-05,923,
2014-06,901,
2014-07,1163,
2014-08,900,
2014-09,810,
2014-10,987,
2014-11,889,
2014-12,1002,Provisional value
"","General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. Secured loans for home purchase, including building and home improvements; including loans granted by building and loan associations and interim credits as well as transmitted loans granted by the reporting agents in their own name and for their own account. Excluding overdrafts. For the purpose of MFI interest rate statistics, a loan is considered to be secured if collateral (inter alia financial collateral, real estate collateral, debt securities) in at least the same value as the loan amount has been posted, pledged or assigned. p = Provisional",
