"",BBK01.CEHEQB,BBK01.CEHEQB_FLAGS
"",short-term loans debtor: All sectors   (consolidated)                  creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:26,
1991-01,0.4,
1991-04,0.3,
1991-07,0.3,
1991-10,0.4,
1992-01,0.3,
1992-04,0.7,
1992-07,0.3,
1992-10,0.2,
1993-01,0.6,
1993-04,0.3,
1993-07,0.4,
1993-10,0.6,
1994-01,0.9,
1994-04,0.7,
1994-07,-0.1,
1994-10,0.8,
1995-01,0.2,
1995-04,0.4,
1995-07,0.5,
1995-10,0.3,
1996-01,0.8,
1996-04,0.4,
1996-07,0.3,
1996-10,0.7,
1997-01,0.5,
1997-04,0.7,
1997-07,0.7,
1997-10,0.1,
1998-01,0.6,
1998-04,0.4,
1998-07,0.8,
1998-10,0.2,
1999-01,0.5,
1999-04,1.3,
1999-07,0.6,
1999-10,1.1,
2000-01,4.1,
2000-04,0.3,
2000-07,0.8,
2000-10,0.6,
2001-01,0.6,
2001-04,1.2,
2001-07,-0.2,
2001-10,2.0,
2002-01,1.0,
2002-04,1.2,
2002-07,3.5,
2002-10,0.2,
2003-01,2.6,
2003-04,0.0,
2003-07,0.7,
2003-10,1.5,
2004-01,2.3,
2004-04,0.9,
2004-07,0.5,
2004-10,-0.1,
2005-01,-0.6,
2005-04,-0.4,
2005-07,-0.5,
2005-10,-3.4,
2006-01,-2.6,
2006-04,-1.5,
2006-07,-0.7,
2006-10,-2.3,
2007-01,-6.2,
2007-04,-1.8,
2007-07,-1.9,
2007-10,-0.6,
2008-01,-0.1,
2008-04,-0.4,
2008-07,0.1,
2008-10,-0.6,
2009-01,0.6,
2009-04,0.0,
2009-07,0.0,
2009-10,-0.5,
2010-01,1.1,
2010-04,0.5,
2010-07,0.6,
2010-10,0.6,
2011-01,0.7,
2011-04,0.1,
2011-07,0.7,
2011-10,0.8,
2012-01,0.6,
2012-04,1.1,
2012-07,0.8,
2012-10,-0.3,
2013-01,-0.5,
2013-04,-1.5,
2013-07,-1.5,
2013-10,-0.2,
2014-01,1.6,
