"",BBAI3.Q.DE.N.V.LE.F7.KV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F7.KV.A1.S.1.N.E.Z_FLAGS
"",Assets / Health insurance companies / Other accounts receivable/payable / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:38,
2005-10,2663,
2006-01,2702,
2006-04,2715,
2006-07,2744,
2006-10,2774,
2007-01,2802,
2007-04,2830,
2007-07,2899,
2007-10,2922,
2008-01,2959,
2008-04,3025,
2008-07,3093,
2008-10,3175,
2009-01,3305,
2009-04,3343,
2009-07,3431,
2009-10,3526,
2010-01,3605,
2010-04,3682,
2010-07,3769,
2010-10,3858,
2011-01,3843,
2011-04,3836,
2011-07,3836,
2011-10,3840,
2012-01,3817,
2012-04,3798,
2012-07,3783,
2012-10,3771,
2013-01,3761,
2013-04,3751,
2013-07,3745,
2013-10,3754,
2014-01,3828,
2014-04,3902,
2014-07,3934,
