"",BBK01.CELX7J,BBK01.CELX7J_FLAGS
"","Pension entitlements, Claims of pension funds on pension managers, Entitlements to non-pension benefits                   debtor: Total                                creditor: Households",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:53,
1999-01,5.1,
1999-04,3.7,
1999-07,4.2,
1999-10,5.1,
2000-01,7.9,
2000-04,6.3,
2000-07,6.6,
2000-10,7.0,
2001-01,6.5,
2001-04,4.8,
2001-07,5.4,
2001-10,3.4,
2002-01,6.2,
2002-04,4.6,
2002-07,5.0,
2002-10,0.7,
2003-01,5.5,
2003-04,4.1,
2003-07,4.3,
2003-10,4.1,
2004-01,4.5,
2004-04,3.5,
2004-07,3.5,
2004-10,5.0,
2005-01,4.9,
2005-04,3.9,
2005-07,3.9,
2005-10,7.7,
2006-01,10.1,
2006-04,6.5,
2006-07,8.6,
2006-10,8.2,
2007-01,8.2,
2007-04,6.0,
2007-07,7.9,
2007-10,11.2,
2008-01,4.4,
2008-04,4.7,
2008-07,4.9,
2008-10,4.4,
2009-01,11.5,
2009-04,3.4,
2009-07,2.1,
2009-10,7.5,
2010-01,15.1,
2010-04,6.7,
2010-07,1.0,
2010-10,5.7,
2011-01,12.5,
2011-04,6.3,
2011-07,4.0,
2011-10,7.4,
2012-01,13.6,
2012-04,5.9,
2012-07,2.2,
2012-10,5.6,
2013-01,12.6,
2013-04,5.0,
2013-07,0.7,
2013-10,4.2,
2014-01,8.8,
2014-04,6.7,
2014-07,5.4,
