"",BBAI3.Q.DE.N.V.LE.F7.LV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F7.LV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Life insurance companies / Other accounts receivable/payable / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:16,
2005-10,50300,
2006-01,49216,
2006-04,48103,
2006-07,46930,
2006-10,45628,
2007-01,44928,
2007-04,44057,
2007-07,43207,
2007-10,42161,
2008-01,41618,
2008-04,40970,
2008-07,40234,
2008-10,38807,
2009-01,38682,
2009-04,38551,
2009-07,38360,
2009-10,37887,
2010-01,38139,
2010-04,38026,
2010-07,37608,
2010-10,37207,
2011-01,37151,
2011-04,36860,
2011-07,36568,
2011-10,35905,
2012-01,35761,
2012-04,35431,
2012-07,35189,
2012-10,34804,
2013-01,34857,
2013-04,34631,
2013-07,34354,
2013-10,34049,
2014-01,34465,
2014-04,34670,
2014-07,34859,
