"",BBK01.CELV0J,BBK01.CELV0J_FLAGS
"",long-term savings deposits  debtor: Total            creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:42,
1999-01,-3.4,
1999-04,-6.4,
1999-07,-1.1,
1999-10,-1.2,
2000-01,1.9,
2000-04,3.4,
2000-07,6.3,
2000-10,1.3,
2001-01,0.9,
2001-04,-2.6,
2001-07,-1.8,
2001-10,-5.8,
2002-01,-4.5,
2002-04,-2.1,
2002-07,0.6,
2002-10,-3.8,
2003-01,-3.7,
2003-04,-4.7,
2003-07,-3.5,
2003-10,-0.8,
2004-01,-1.0,
2004-04,-1.7,
2004-07,0.3,
2004-10,1.0,
2005-01,0.8,
2005-04,-0.8,
2005-07,-2.6,
2005-10,-1.0,
2006-01,2.4,
2006-04,3.2,
2006-07,4.4,
2006-10,5.0,
2007-01,6.1,
2007-04,1.5,
2007-07,2.6,
2007-10,0.6,
2008-01,-1.9,
2008-04,-2.4,
2008-07,-1.6,
2008-10,7.4,
2009-01,1.3,
2009-04,3.2,
2009-07,3.8,
2009-10,-1.3,
2010-01,-1.6,
2010-04,-4.3,
2010-07,-5.4,
2010-10,-2.2,
2011-01,0.5,
2011-04,-0.4,
2011-07,0.0,
2011-10,-3.0,
2012-01,-2.7,
2012-04,-1.6,
2012-07,-3.5,
2012-10,-5.0,
2013-01,-4.0,
2013-04,-4.1,
2013-07,-2.5,
2013-10,-1.1,
2014-01,-0.2,
2014-04,-1.2,
2014-07,2.3,
