"",BBK01.CEL402,BBK01.CEL402_FLAGS
"",Loans                                                           debtor: Total            creditor: Domestic financial sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:44,
1999-01,62.9,
1999-04,62.1,
1999-07,33.1,
1999-10,79.0,
2000-01,34.9,
2000-04,65.5,
2000-07,-12.1,
2000-10,25.5,
2001-01,110.1,
2001-04,-20.1,
2001-07,17.8,
2001-10,-8.5,
2002-01,26.9,
2002-04,-22.5,
2002-07,29.6,
2002-10,9.8,
2003-01,31.7,
2003-04,-21.0,
2003-07,15.7,
2003-10,27.3,
2004-01,32.4,
2004-04,-52.2,
2004-07,50.1,
2004-10,-10.3,
2005-01,9.3,
2005-04,-10.8,
2005-07,37.0,
2005-10,-9.1,
2006-01,8.1,
2006-04,1.5,
2006-07,58.2,
2006-10,-56.9,
2007-01,56.6,
2007-04,35.4,
2007-07,60.3,
2007-10,25.0,
2008-01,81.8,
2008-04,31.4,
2008-07,43.8,
2008-10,-12.6,
2009-01,32.3,
2009-04,40.6,
2009-07,-21.9,
2009-10,-29.0,
2010-01,26.8,
2010-04,93.2,
2010-07,30.3,
2010-10,71.2,
2011-01,-8.7,
2011-04,16.2,
2011-07,161.4,
2011-10,-26.7,
2012-01,197.8,
2012-04,117.0,
2012-07,-8.1,
2012-10,-70.3,
2013-01,-48.0,
2013-04,4.8,
2013-07,-46.8,
2013-10,-72.4,
2014-01,-16.9,
2014-04,10.4,
2014-07,22.8,
