"",BBK01.CEHAC0,BBK01.CEHAC0_FLAGS
"",Money market paper debtor: General government                     creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:33,
1991-01,-0.3,
1991-04,0.6,
1991-07,-2.3,
1991-10,0.2,
1992-01,0.7,
1992-04,0.1,
1992-07,0.0,
1992-10,-0.1,
1993-01,0.2,
1993-04,-3.0,
1993-07,0.2,
1993-10,-0.2,
1994-01,-2.2,
1994-04,-0.6,
1994-07,-1.3,
1994-10,-1.0,
1995-01,-3.0,
1995-04,-1.6,
1995-07,-1.3,
1995-10,-0.4,
1996-01,0.3,
1996-04,0.0,
1996-07,5.6,
1996-10,4.1,
1997-01,-0.5,
1997-04,0.0,
1997-07,-0.9,
1997-10,0.7,
1998-01,-0.4,
1998-04,0.0,
1998-07,-0.4,
1998-10,0.4,
1999-01,-0.5,
1999-04,-0.6,
1999-07,-0.2,
1999-10,0.8,
2000-01,-1.5,
2000-04,0.0,
2000-07,0.2,
2000-10,-0.2,
2001-01,0.2,
2001-04,1.9,
2001-07,5.8,
2001-10,3.5,
2002-01,-5.2,
2002-04,4.4,
2002-07,9.2,
2002-10,-0.6,
2003-01,-0.2,
2003-04,0.6,
2003-07,2.3,
2003-10,2.6,
2004-01,1.3,
2004-04,0.2,
2004-07,0.2,
2004-10,-1.8,
2005-01,1.8,
2005-04,-0.3,
2005-07,0.0,
2005-10,-0.2,
2006-01,-0.1,
2006-04,0.6,
2006-07,0.4,
2006-10,-0.1,
2007-01,0.7,
2007-04,-0.1,
2007-07,0.9,
2007-10,-0.1,
2008-01,0.0,
2008-04,0.2,
2008-07,3.0,
2008-10,2.1,
2009-01,25.5,
2009-04,28.9,
2009-07,11.0,
2009-10,-3.6,
2010-01,-12.2,
2010-04,-7.2,
2010-07,1.0,
2010-10,-0.8,
2011-01,12.0,
2011-04,5.0,
2011-07,10.6,
2011-10,2.0,
2012-01,-0.1,
2012-04,5.3,
2012-07,-15.6,
2012-10,1.5,
2013-01,-1.9,
2013-04,-1.4,
2013-07,-9.7,
2013-10,-8.4,
2014-01,-3.8,
