"",BBK01.CEH30I,BBK01.CEH30I_FLAGS
"",Securities other than shares debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:52,
1991-01,11.4,
1991-04,10.4,
1991-07,0.4,
1991-10,2.1,
1992-01,2.9,
1992-04,1.1,
1992-07,-1.2,
1992-10,2.3,
1993-01,-3.0,
1993-04,-11.6,
1993-07,1.4,
1993-10,-2.3,
1994-01,10.0,
1994-04,1.4,
1994-07,11.1,
1994-10,11.5,
1995-01,16.7,
1995-04,6.4,
1995-07,1.3,
1995-10,-0.7,
1996-01,-10.9,
1996-04,4.1,
1996-07,9.1,
1996-10,4.6,
1997-01,-5.3,
1997-04,8.6,
1997-07,0.5,
1997-10,1.7,
1998-01,-15.4,
1998-04,2.1,
1998-07,2.5,
1998-10,-1.6,
1999-01,4.4,
1999-04,-1.5,
1999-07,-1.3,
1999-10,-5.5,
2000-01,0.4,
2000-04,5.3,
2000-07,11.5,
2000-10,-13.7,
2001-01,-10.6,
2001-04,-6.3,
2001-07,6.6,
2001-10,16.0,
2002-01,-13.8,
2002-04,7.0,
2002-07,-2.7,
2002-10,22.2,
2003-01,5.2,
2003-04,-0.7,
2003-07,3.6,
2003-10,11.1,
2004-01,13.3,
2004-04,10.8,
2004-07,13.6,
2004-10,-3.3,
2005-01,12.3,
2005-04,2.3,
2005-07,5.1,
2005-10,-1.9,
2006-01,9.4,
2006-04,12.9,
2006-07,11.9,
2006-10,8.1,
2007-01,18.6,
2007-04,11.6,
2007-07,4.1,
2007-10,-9.7,
2008-01,-3.2,
2008-04,2.5,
2008-07,0.5,
2008-10,-22.2,
2009-01,-7.5,
2009-04,-4.7,
2009-07,1.0,
2009-10,-1.3,
2010-01,-3.5,
2010-04,-5.0,
2010-07,0.9,
2010-10,-3.8,
2011-01,2.5,
2011-04,1.8,
2011-07,-4.0,
2011-10,-2.2,
2012-01,-2.8,
2012-04,-2.4,
2012-07,-4.7,
2012-10,-7.2,
2013-01,-4.6,
2013-04,-5.5,
2013-07,-1.0,
2013-10,-3.8,
2014-01,-2.6,
