"",BBAI3.Q.DE.N.V.LE.F29AB.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AB.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Deposits over 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:33,
2005-10,359959,
2006-01,365113,
2006-04,372092,
2006-07,377340,
2006-10,380327,
2007-01,387572,
2007-04,394435,
2007-07,398212,
2007-10,402310,
2008-01,405755,
2008-04,409638,
2008-07,408524,
2008-10,404015,
2009-01,409713,
2009-04,413340,
2009-07,413809,
2009-10,408459,
2010-01,409953,
2010-04,405635,
2010-07,402671,
2010-10,394907,
2011-01,397637,
2011-04,397578,
2011-07,396022,
2011-10,387560,
2012-01,382866,
2012-04,380342,
2012-07,378025,
2012-10,370791,
2013-01,369173,
2013-04,367218,
2013-07,362328,
2013-10,356681,
2014-01,349483,
2014-04,346012,
2014-07,342457,
