"",BBFN1.M.DE.N.1.A.HK.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.HK.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1984-05,0.021,
1984-06,0.011,
1984-07,0.018,
1984-08,0.020,
1984-09,0.020,
1984-10,0.021,
1984-11,0.017,
1984-12,0.019,
1985-01,0.018,
1985-02,0.019,
1985-03,0.021,
1985-04,0.021,
1985-05,0.024,
1985-06,0.081,
1985-07,0.113,
1985-08,0.165,
1985-09,0.072,
1985-10,0.227,
1985-11,0.196,
1985-12,0.172,
1986-01,0.162,
1986-02,0.220,
1986-03,0.157,
1986-04,0.186,
1986-05,0.172,
1986-06,0.240,
1986-07,0.285,
1986-08,0.308,
1986-09,0.283,
1986-10,0.365,
1986-11,0.336,
1986-12,0.287,
1987-01,0.296,
1987-02,0.231,
1987-03,0.353,
1987-04,0.307,
1987-05,0.245,
1987-06,0.353,
1987-07,0.341,
1987-08,0.319,
1987-09,0.339,
1987-10,0.545,
1987-11,0.457,
1987-12,0.279,
1988-01,0.308,
1988-02,0.317,
1988-03,0.366,
1988-04,0.544,
1988-05,0.450,
1988-06,0.407,
1988-07,0.419,
1988-08,0.547,
1988-09,0.489,
1988-10,0.580,
1988-11,0.732,
1988-12,0.529,
1989-01,0.866,
1989-02,0.500,
1989-03,0.757,
1989-04,0.616,
1989-05,0.595,
1989-06,0.450,
1989-07,0.527,
1989-08,0.338,
1989-09,0.334,
1989-10,0.319,
1989-11,0.515,
1989-12,0.266,
1990-01,0.430,
1990-02,0.389,
1990-03,0.450,
1990-04,0.251,
1990-05,0.196,
1990-06,0.176,
1990-07,0.174,
1990-08,0.175,
1990-09,0.143,
1990-10,0.140,
1990-11,0.091,
1990-12,0.079,
1991-01,0.103,
1991-02,0.114,
1991-03,0.122,
1991-04,0.124,
1991-05,0.104,
1991-06,0.121,
1991-07,0.161,
1991-08,0.128,
1991-09,0.237,
1991-10,0.247,
1991-11,0.119,
1991-12,0.261,
1992-01,0.254,
1992-02,0.201,
1992-03,0.200,
1992-04,0.241,
1992-05,0.189,
1992-06,0.225,
1992-07,0.255,
1992-08,0.220,
1992-09,0.246,
1992-10,0.221,
1992-11,0.315,
1992-12,0.271,
1993-01,0.201,
1993-02,0.134,
1993-03,0.160,
1993-04,0.122,
1993-05,0.139,
1993-06,0.122,
1993-07,0.139,
1993-08,0.129,
1993-09,0.145,
1993-10,0.170,
1993-11,0.105,
1993-12,0.081,
1994-01,0.302,
1994-02,0.281,
1994-03,0.393,
1994-04,0.437,
1994-05,0.274,
1994-06,0.323,
1994-07,0.395,
1994-08,0.923,
1994-09,0.977,
1994-10,1.311,
1994-11,1.134,
1994-12,0.608,
1995-01,0.797,
1995-02,1.190,
1995-03,0.949,
1995-04,0.849,
1995-05,0.977,
1995-06,0.963,
1995-07,1.028,
1995-08,0.907,
1995-09,1.095,
1995-10,0.796,
1995-11,0.637,
1995-12,0.297,
1996-01,0.321,
1996-02,0.368,
1996-03,0.432,
1996-04,0.560,
1996-05,0.326,
1996-06,0.422,
1996-07,0.484,
1996-08,0.501,
1996-09,0.367,
1996-10,0.437,
1996-11,0.520,
1996-12,0.328,
1997-01,0.358,
1997-02,0.374,
1997-03,0.524,
1997-04,0.754,
1997-05,0.894,
1997-06,0.711,
1997-07,0.711,
1997-08,0.721,
1997-09,0.919,
1997-10,0.562,
1997-11,0.463,
1997-12,0.449,
1998-01,0.499,
1998-02,0.426,
1998-03,0.364,
1998-04,0.281,
1998-05,0.344,
1998-06,0.272,
1998-07,0.322,
1998-08,0.173,
1998-09,0.119,
1998-10,0.006,
1998-11,0.003,
1998-12,0.003,
1999-01,0.007,
1999-02,0.004,
1999-03,0.056,
1999-04,0.060,
1999-05,0.058,
1999-06,0.053,
1999-07,0.058,
1999-08,0.056,
1999-09,0.086,
1999-10,0.059,
1999-11,0.045,
1999-12,0.061,
2000-01,0.095,
2000-02,0.078,
2000-03,0.080,
2000-04,0.078,
2000-05,0.082,
2000-06,0.061,
2000-07,0.071,
2000-08,0.070,
2000-09,0.069,
2000-10,0.075,
2000-11,0.059,
2000-12,0.058,
2001-01,0.061,
2001-02,0.023,
2001-03,0.024,
2001-04,0.027,
2001-05,0.029,
2001-06,0.023,
2001-07,0.023,
2001-08,0.024,
2001-09,0.006,
2001-10,0.021,
2001-11,0.018,
2001-12,0.013,
2002-01,0.011,
2002-02,0.018,
2002-03,0.017,
2002-04,0.020,
2002-05,0.017,
2002-06,0.016,
2002-07,0.016,
2002-08,0.015,
2002-09,0.013,
2002-10,0.018,
2002-11,0.017,
2002-12,0.020,
2003-01,0.248,
2003-02,0.239,
2003-03,0.238,
2003-04,0.235,
2003-05,0.221,
2003-06,0.228,
2003-07,0.231,
2003-08,0.242,
2003-09,0.229,
2003-10,0.224,
2003-11,0.219,
2003-12,0.204,
2004-01,0.210,
2004-02,0.045,
2004-03,0.044,
2004-04,0.044,
2004-05,0.044,
2004-06,0.047,
2004-07,0.054,
2004-08,0.045,
2004-09,0.045,
2004-10,0.002,
2004-11,0.002,
2004-12,0.002,
2005-01,0.041,
2005-02,0.042,
2005-03,0.040,
2005-04,0.043,
2005-05,0.004,
2005-06,0.004,
2005-07,0.002,
2005-08,0.006,
2005-09,0.003,
2005-10,0.006,
2005-11,0.006,
2005-12,0.010,
2006-01,0.003,
2006-02,0.010,
2006-03,0.004,
2006-04,0.008,
2006-05,0.004,
2006-06,0.006,
2006-07,0.004,
2006-08,0.012,
2006-09,0.007,
2006-10,0.015,
2006-11,0.012,
2006-12,0.020,
2007-01,0.005,
2007-02,0.018,
2007-03,0.016,
2007-04,0.013,
2007-05,0.061,
2007-06,0.005,
2007-07,0.014,
2007-08,0.008,
2007-09,0.010,
2007-10,0.014,
2007-11,0.012,
2007-12,0.015,
2008-01,0.033,
2008-02,0.037,
2008-03,0.029,
2008-04,0.034,
2008-05,0.041,
2008-06,0.033,
2008-07,0.036,
2008-08,0.031,
2008-09,0.028,
2008-10,0.026,
2008-11,0.006,
2008-12,0.008,
2009-01,0.009,
2009-02,0.008,
2009-03,0.010,
2009-04,0.012,
2009-05,0.006,
2009-06,0.012,
2009-07,0.011,
2009-08,0.007,
2009-09,0.010,
2009-10,0.004,
2009-11,0.007,
2009-12,0.008,
2010-01,0.004,
2010-02,0.008,
2010-03,0.009,
2010-04,0.008,
2010-05,0.010,
2010-06,0.011,
2010-07,0.003,
2010-08,0.011,
2010-09,0.015,
2010-10,0.009,
2010-11,0.009,
2010-12,0.022,
2011-01,0.015,
2011-02,0.010,
2011-03,0.011,
2011-04,0.014,
2011-05,0.009,
2011-06,0.012,
2011-07,0.008,
2011-08,0.009,
2011-09,0.010,
2011-10,0.010,
2011-11,0.009,
2011-12,0.011,
2012-01,0.011,
2012-02,0.012,
2012-03,0.017,
2012-04,0.017,
2012-05,0.010,
2012-06,0.013,
2012-07,0.012,
2012-08,0.020,
2012-09,0.027,
2012-10,0.018,
2012-11,0.014,
2012-12,0.038,
2013-01,0.026,
2013-02,0.018,
2013-03,0.050,
2013-04,0.019,
2013-05,0.024,
2013-06,0.016,
2013-07,0.017,
2013-08,0.035,
2013-09,0.049,
2013-10,0.048,
2013-11,0.047,
2013-12,0.055,
2014-01,0.061,
2014-02,0.146,
2014-03,0.237,
2014-04,0.188,
2014-05,0.095,
2014-06,0.240,
2014-07,0.138,
2014-08,0.142,
2014-09,0.146,
2014-10,0.237,
2014-11,0.337,
2014-12,0.248,
