"",BBEX3.M.INR.EUR.CA.AB.A01,BBEX3.M.INR.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in India / EUR 1 = INR ... (selling),
unit,INR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:59,
1999-01,48.83,
1999-02,46.96,
1999-03,45.67,
1999-04,45.72,
1999-05,45.09,
1999-06,45.00,
1999-07,46.61,
1999-08,45.87,
1999-09,46.28,
1999-10,45.93,
1999-11,44.11,
1999-12,44.05,
2000-01,42.99,
2000-02,42.65,
2000-03,42.08,
2000-04,40.02,
2000-05,41.75,
2000-06,42.81,
2000-07,41.73,
2000-08,41.25,
2000-09,40.82,
2000-10,39.52,
2000-11,40.49,
2000-12,43.71,
2001-01,43.24,
2001-02,43.03,
2001-03,41.20,
2001-04,42.00,
2001-05,40.48,
2001-06,40.01,
2001-07,41.53,
2001-08,43.54,
2001-09,44.10,
2001-10,43.84,
2001-11,42.81,
2001-12,42.96,
2002-01,42.11,
2002-02,42.41,
2002-03,42.78,
2002-04,44.55,
2002-05,46.20,
2002-06,48.59,
2002-07,48.21,
2002-08,48.05,
2002-09,47.55,
2002-10,48.07,
2002-11,48.24,
2002-12,50.30,
2003-01,52.00,
2003-02,51.51,
2003-03,51.72,
2003-04,52.92,
2003-05,56.11,
2003-06,53.35,
2003-07,52.61,
2003-08,50.12,
2003-09,52.73,
2003-10,52.96,
2003-11,55.01,
2003-12,57.59,
2004-01,56.52,
2004-02,56.63,
2004-03,54.17,
2004-04,53.36,
2004-05,55.94,
2004-06,55.97,
2004-07,56.27,
2004-08,56.33,
2004-09,57.22,
2004-10,58.34,
2004-11,59.61,
2004-12,59.72,
2005-01,57.31,
2005-02,58.27,
2005-03,56.87,
2005-04,56.74,
2005-05,54.43,
2005-06,52.93,
2005-07,53.10,
2005-08,54.18,
2005-09,53.35,
2005-10,54.76,
2005-11,54.45,
2005-12,53.92,
2006-01,53.68,
2006-02,53.23,
2006-03,54.73,
2006-04,56.75,
2006-05,60.36,
2006-06,59.09,
2006-07,59.90,
2006-08,60.18,
2006-09,58.75,
2006-10,57.64,
2006-11,59.35,
2006-12,58.52,
2007-01,57.57,
2007-02,59.04,
2007-03,58.54,
2007-04,56.76,
2007-05,55.19,
2007-06,55.29,
2007-07,55.95,
2007-08,56.65,
2007-09,56.86,
2007-10,57.34,
2007-11,59.03,
2007-12,58.60,
2008-01,59.05,
2008-02,61.04,
2008-03,63.47,
2008-04,63.59,
2008-05,66.65,
2008-06,68.15,
2008-07,66.81,
2008-08,65.08,
2008-09,68.85,
2008-10,63.40,
2008-11,65.05,
2008-12,69.26,
2009-01,63.94,
2009-02,65.19,
2009-03,67.05,
2009-04,67.20,
2009-05,67.28,
2009-06,68.37,
2009-07,68.99,
2009-08,70.62,
2009-09,71.13,
2009-10,70.51,
2009-11,70.68,
2009-12,67.97,
2010-01,65.52,
2010-02,63.72,
2010-03,61.31,
2010-04,59.73,
2010-05,58.03,
2010-06,57.82,
2010-07,61.47,
2010-08,60.29,
2010-09,61.79,
2010-10,62.75,
2010-11,61.06,
2010-12,60.45,
2011-01,63.32,
2011-02,63.14,
2011-03,63.99,
2011-04,66.70,
2011-05,65.48,
2011-06,65.82,
2011-07,63.95,
2011-08,67.40,
2011-09,67.29,
2011-10,69.13,
2011-11,70.19,
2011-12,69.76,
2012-01,66.13,
2012-02,66.64,
2012-03,69.05,
2012-04,70.33,
2012-05,70.56,
2012-06,71.43,
2012-07,68.81,
2012-08,70.38,
2012-09,68.94,
2012-10,70.76,
2012-11,71.49,
2012-12,73.09,
2013-01,72.83,
2013-02,71.71,
2013-03,70.28,
2013-04,71.73,
2013-05,74.34,
2013-06,79.07,
2013-07,81.72,
2013-08,88.71,
2013-09,85.22,
2013-10,85.03,
2013-11,85.80,
2013-12,86.08,
2014-01,85.73,
2014-02,85.97,
2014-03,83.46,
2014-04,84.12,
2014-05,81.07,
2014-06,82.87,
2014-07,81.56,
2014-08,80.59,
2014-09,79.04,
2014-10,78.23,
2014-11,77.93,
2014-12,77.84,
2015-01,70.81,
"","Source: State Bank of India, Frankfurt am Main.",
