"",BBAI3.Q.DE.N.V.LE.F6.LV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F6.LV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Life insurance companies / Insurance technical reserves / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:14,
2005-10,641078,
2006-01,649702,
2006-04,657652,
2006-07,664458,
2006-10,670001,
2007-01,680024,
2007-04,687333,
2007-07,694565,
2007-10,697273,
2008-01,701885,
2008-04,704848,
2008-07,706290,
2008-10,696484,
2009-01,706567,
2009-04,716800,
2009-07,726239,
2009-10,730835,
2010-01,748347,
2010-04,759139,
2010-07,764095,
2010-10,767984,
2011-01,776771,
2011-04,780304,
2011-07,783132,
2011-10,777943,
2012-01,789340,
2012-04,796998,
2012-07,806538,
2012-10,813061,
2013-01,828092,
2013-04,836880,
2013-07,844512,
2013-10,851337,
2014-01,864621,
2014-04,872929,
2014-07,880008,
