"",BBK01.CEF00K,BBK01.CEF00K_FLAGS
"",Total financial assets  debtor: Total                                           creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:27,
1999-01,952.6,
1999-04,978.6,
1999-07,988.8,
1999-10,1068.6,
2000-01,1116.7,
2000-04,1122.7,
2000-07,1138.8,
2000-10,1110.4,
2001-01,1115.0,
2001-04,1135.4,
2001-07,1111.6,
2001-10,1165.8,
2002-01,1218.5,
2002-04,1203.4,
2002-07,1180.5,
2002-10,1188.5,
2003-01,1189.7,
2003-04,1228.8,
2003-07,1242.0,
2003-10,1281.4,
2004-01,1304.0,
2004-04,1301.0,
2004-07,1307.0,
2004-10,1319.4,
2005-01,1351.2,
2005-04,1367.0,
2005-07,1393.9,
2005-10,1372.0,
2006-01,1369.9,
2006-04,1378.6,
2006-07,1391.3,
2006-10,1402.6,
2007-01,1409.8,
2007-04,1434.5,
2007-07,1448.4,
2007-10,1443.5,
2008-01,1427.1,
2008-04,1416.4,
2008-07,1417.0,
2008-10,1390.1,
2009-01,1398.7,
2009-04,1403.8,
2009-07,1409.8,
2009-10,1415.0,
2010-01,1457.9,
2010-04,1464.6,
2010-07,1482.6,
2010-10,1492.1,
2011-01,1511.8,
2011-04,1534.0,
2011-07,1530.8,
2011-10,1526.6,
2012-01,1582.8,
2012-04,1582.8,
2012-07,1620.0,
2012-10,1637.9,
2013-01,1707.9,
2013-04,1704.8,
2013-07,1724.6,
2013-10,1736.2,
2014-01,1785.7,
2014-04,1821.8,
2014-07,1844.8,
