"",BBAI3.Q.DE.N.V.LE.F6.KV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F6.KV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Health insurance companies / Insurance technical reserves / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:20,
2005-10,116299,
2006-01,118970,
2006-04,122256,
2006-07,124168,
2006-10,127707,
2007-01,130450,
2007-04,133553,
2007-07,135974,
2007-10,139434,
2008-01,142235,
2008-04,145299,
2008-07,147676,
2008-10,149437,
2009-01,152318,
2009-04,155713,
2009-07,157530,
2009-10,160670,
2010-01,163940,
2010-04,167495,
2010-07,170140,
2010-10,173141,
2011-01,177140,
2011-04,180807,
2011-07,183331,
2011-10,186125,
2012-01,190429,
2012-04,194264,
2012-07,196778,
2012-10,200448,
2013-01,204954,
2013-04,208339,
2013-07,210474,
2013-10,214345,
2014-01,218581,
2014-04,222334,
2014-07,224301,
