"",BBAI3.Q.DE.N.V.LE.F612.S125.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F612.S125.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations and pension funds (ICPFs) / Net equity of households in pension fund reserves / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:57,
2005-10,361267,
2006-01,368582,
2006-04,376585,
2006-07,383659,
2006-10,392582,
2007-01,400413,
2007-04,409281,
2007-07,419681,
2007-10,435228,
2008-01,442921,
2008-04,448202,
2008-07,453744,
2008-10,458159,
2009-01,468574,
2009-04,477289,
2009-07,485013,
2009-10,493052,
2010-01,504898,
2010-04,515014,
2010-07,524393,
2010-10,563634,
2011-01,573330,
2011-04,580687,
2011-07,587682,
2011-10,595452,
2012-01,607300,
2012-04,614585,
2012-07,621513,
2012-10,632605,
2013-01,645152,
2013-04,652304,
2013-07,659606,
2013-10,679360,
2014-01,687193,
2014-04,697548,
2014-07,703692,
