"",BBFN1.M.DE.N.1.A.LI.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LI.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
1998-10,0.074,
1998-11,0.064,
1998-12,0.071,
1999-01,0.061,
1999-02,0.058,
1999-03,0.072,
1999-04,0.066,
1999-05,0.060,
1999-06,0.072,
1999-07,0.065,
1999-08,0.066,
1999-09,0.064,
1999-10,0.070,
1999-11,0.059,
1999-12,0.061,
2000-01,0.074,
2000-02,0.071,
2000-03,0.063,
2000-04,0.076,
2000-05,0.078,
2000-06,0.094,
2000-07,0.076,
2000-08,0.085,
2000-09,0.063,
2000-10,0.077,
2000-11,0.075,
2000-12,0.087,
2001-01,0.085,
2001-02,0.088,
2001-03,0.089,
2001-04,0.089,
2001-05,0.079,
2001-06,0.081,
2001-07,0.098,
2001-08,0.091,
2001-09,0.086,
2001-10,0.063,
2001-11,0.068,
2001-12,0.045,
2002-01,0.048,
2002-02,0.048,
2002-03,0.047,
2002-04,0.047,
2002-05,0.042,
2002-06,0.050,
2002-07,0.050,
2002-08,0.044,
2002-09,0.044,
2002-10,0.036,
2002-11,0.036,
2002-12,0.060,
2003-01,0.050,
2003-02,0.040,
2003-03,0.039,
2003-04,0.052,
2003-05,0.044,
2003-06,0.059,
2003-07,0.044,
2003-08,0.041,
2003-09,0.042,
2003-10,0.045,
2003-11,0.045,
2003-12,0.051,
2004-01,0.051,
2004-02,0.052,
2004-03,0.049,
2004-04,0.051,
2004-05,0.053,
2004-06,0.053,
2004-07,0.050,
2004-08,0.052,
2004-09,0.056,
2004-10,0.058,
2004-11,0.053,
2004-12,0.050,
2005-01,0.047,
2005-02,0.059,
2005-03,0.058,
2005-04,0.061,
2005-05,0.066,
2005-06,0.074,
2005-07,0.068,
2005-08,0.070,
2005-09,0.074,
2005-10,0.049,
2005-11,0.060,
2005-12,0.043,
2006-01,0.052,
2006-02,0.051,
2006-03,0.057,
2006-04,0.058,
2006-05,0.057,
2006-06,0.053,
2006-07,0.043,
2006-08,0.039,
2006-09,0.042,
2006-10,0.039,
2006-11,0.035,
2006-12,0.034,
2007-01,0.034,
2007-02,0.041,
2007-03,0.044,
2007-04,0.041,
2007-05,0.051,
2007-06,0.053,
2007-07,0.038,
2007-08,0.047,
2007-09,0.054,
2007-10,0.055,
2007-11,0.056,
2007-12,0.060,
2008-01,0.057,
2008-02,0.059,
2008-03,0.064,
2008-04,0.067,
2008-05,0.062,
2008-06,0.064,
2008-07,0.062,
2008-08,0.071,
2008-09,0.075,
2008-10,0.066,
2008-11,0.068,
2008-12,0.066,
2009-01,0.069,
2009-02,0.136,
2009-03,0.061,
2009-04,0.064,
2009-05,0.061,
2009-06,0.062,
2009-07,0.062,
2009-08,0.065,
2009-09,0.067,
2009-10,0.070,
2009-11,0.064,
2009-12,0.057,
2010-01,0.066,
2010-02,0.061,
2010-03,0.073,
2010-04,0.067,
2010-05,0.075,
2010-06,0.089,
2010-07,0.077,
2010-08,0.078,
2010-09,0.077,
2010-10,0.094,
2010-11,0.102,
2010-12,0.084,
2011-01,0.085,
2011-02,0.084,
2011-03,0.082,
2011-04,0.089,
2011-05,0.084,
2011-06,0.077,
2011-07,0.118,
2011-08,0.074,
2011-09,0.080,
2011-10,0.084,
2011-11,0.083,
2011-12,0.084,
2012-01,0.078,
2012-02,0.080,
2012-03,0.087,
2012-04,0.091,
2012-05,0.093,
2012-06,0.100,
2012-07,0.100,
2012-08,0.100,
2012-09,0.101,
2012-10,0.108,
2012-11,0.111,
2012-12,0.074,
2013-01,0.051,
2013-02,0.053,
2013-03,0.060,
2013-04,0.068,
2013-05,0.064,
2013-06,0.056,
2013-07,0.059,
2013-08,0.056,
2013-09,0.056,
2013-10,0.059,
2013-11,0.073,
2013-12,0.068,
2014-01,0.073,
2014-02,0.075,
2014-03,0.078,
2014-04,0.080,
2014-05,0.079,
2014-06,0.075,
2014-07,0.079,
2014-08,0.078,
2014-09,0.083,
2014-10,0.086,
2014-11,0.090,
2014-12,0.087,
