"",BBK01.CEHXBQ,BBK01.CEHXBQ_FLAGS
"",Prepayments of insurance premiums and reserves for outstanding claims  (consolidated) debtor: Insurance corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:33,
1991-01,5.7,
1991-04,0.2,
1991-07,0.7,
1991-10,0.8,
1992-01,10.0,
1992-04,1.1,
1992-07,0.6,
1992-10,-2.0,
1993-01,7.5,
1993-04,3.7,
1993-07,1.5,
1993-10,-2.2,
1994-01,5.3,
1994-04,7.6,
1994-07,2.8,
1994-10,-0.9,
1995-01,9.1,
1995-04,1.7,
1995-07,3.6,
1995-10,-0.1,
1996-01,12.2,
1996-04,1.5,
1996-07,1.2,
1996-10,-4.3,
1997-01,14.6,
1997-04,1.7,
1997-07,2.6,
1997-10,-2.3,
1998-01,9.9,
1998-04,4.5,
1998-07,2.1,
1998-10,-2.3,
1999-01,3.7,
1999-04,1.8,
1999-07,2.1,
1999-10,0.6,
2000-01,4.3,
2000-04,1.6,
2000-07,1.7,
2000-10,-1.3,
2001-01,4.2,
2001-04,1.7,
2001-07,3.9,
2001-10,2.1,
2002-01,7.2,
2002-04,1.7,
2002-07,2.4,
2002-10,-3.5,
2003-01,2.3,
2003-04,2.4,
2003-07,1.6,
2003-10,7.4,
2004-01,3.1,
2004-04,0.4,
2004-07,1.6,
2004-10,4.5,
2005-01,4.2,
2005-04,1.1,
2005-07,3.4,
2005-10,11.7,
2006-01,-0.8,
2006-04,-0.8,
2006-07,-0.9,
2006-10,3.1,
2007-01,-4.6,
2007-04,-4.6,
2007-07,-4.5,
2007-10,-4.0,
2008-01,0.4,
2008-04,0.3,
2008-07,0.1,
2008-10,-0.3,
2009-01,0.6,
2009-04,0.5,
2009-07,0.3,
2009-10,0.1,
2010-01,1.3,
2010-04,1.1,
2010-07,0.9,
2010-10,0.9,
2011-01,2.1,
2011-04,2.1,
2011-07,2.0,
2011-10,1.8,
2012-01,1.6,
2012-04,1.4,
2012-07,1.4,
2012-10,1.4,
2013-01,-1.1,
2013-04,2.0,
2013-07,2.4,
2013-10,1.9,
2014-01,5.1,
