"",BBK01.CELF1K,BBK01.CELF1K_FLAGS
"",long-term loans debtor: Non-financial corporations                         creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:59,
1999-01,0.2,
1999-04,0.1,
1999-07,0.1,
1999-10,-0.5,
2000-01,0.2,
2000-04,0.1,
2000-07,0.1,
2000-10,0.7,
2001-01,0.2,
2001-04,0.2,
2001-07,0.2,
2001-10,0.1,
2002-01,0.4,
2002-04,0.1,
2002-07,0.2,
2002-10,3.9,
2003-01,0.0,
2003-04,0.3,
2003-07,0.5,
2003-10,7.6,
2004-01,1.6,
2004-04,1.3,
2004-07,0.8,
2004-10,-3.3,
2005-01,2.7,
2005-04,-0.3,
2005-07,2.6,
2005-10,-8.6,
2006-01,-0.4,
2006-04,-0.2,
2006-07,-1.3,
2006-10,-4.2,
2007-01,0.7,
2007-04,1.0,
2007-07,0.6,
2007-10,2.8,
2008-01,-2.5,
2008-04,-0.3,
2008-07,0.1,
2008-10,0.3,
2009-01,2.5,
2009-04,-0.6,
2009-07,-3.2,
2009-10,-1.2,
2010-01,2.7,
2010-04,1.5,
2010-07,1.0,
2010-10,3.2,
2011-01,-0.6,
2011-04,-0.6,
2011-07,-0.1,
2011-10,-2.8,
2012-01,0.0,
2012-04,-5.0,
2012-07,1.6,
2012-10,-0.3,
2013-01,4.9,
2013-04,0.6,
2013-07,2.4,
2013-10,-3.1,
2014-01,-0.1,
2014-04,0.6,
2014-07,-1.0,
