"",BBQFS.M.US.CORP.IMP_RSK_SP500._X.0000,BBQFS.M.US.CORP.IMP_RSK_SP500._X.0000_FLAGS
"",Implied equity risk premium S&P 500 (FSR 2014),
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:09:25,
2005-01,5.30,
2005-02,4.99,
2005-03,5.02,
2005-04,5.38,
2005-05,5.49,
2005-06,5.63,
2005-07,5.13,
2005-08,5.46,
2005-09,5.21,
2005-10,5.09,
2005-11,5.01,
2005-12,5.11,
2006-01,4.98,
2006-02,4.96,
2006-03,4.70,
2006-04,4.44,
2006-05,4.52,
2006-06,4.59,
2006-07,4.74,
2006-08,4.91,
2006-09,4.91,
2006-10,4.95,
2006-11,5.03,
2006-12,4.74,
2007-01,4.63,
2007-02,4.98,
2007-03,4.85,
2007-04,4.79,
2007-05,4.40,
2007-06,4.33,
2007-07,4.82,
2007-08,4.97,
2007-09,4.77,
2007-10,4.86,
2007-11,5.57,
2007-12,5.49,
2008-01,6.18,
2008-02,6.41,
2008-03,6.49,
2008-04,5.99,
2008-05,5.62,
2008-06,6.01,
2008-07,6.05,
2008-08,6.13,
2008-09,6.37,
2008-10,7.15,
2008-11,8.60,
2008-12,8.56,
2009-01,8.50,
2009-02,8.97,
2009-03,8.68,
2009-04,7.76,
2009-05,7.20,
2009-06,7.29,
2009-07,7.01,
2009-08,6.97,
2009-09,6.91,
2009-10,6.94,
2009-11,6.88,
2009-12,6.46,
2010-01,6.90,
2010-02,6.78,
2010-03,6.44,
2010-04,6.56,
2010-05,7.34,
2010-06,8.12,
2010-07,7.84,
2010-08,8.53,
2010-09,8.28,
2010-10,8.03,
2010-11,7.86,
2010-12,7.16,
2011-01,6.99,
2011-02,6.80,
2011-03,6.87,
2011-04,6.95,
2011-05,7.23,
2011-06,7.34,
2011-07,7.82,
2011-08,8.69,
2011-09,9.45,
2011-10,8.72,
2011-11,8.79,
2011-12,8.93,
2012-01,8.87,
2012-02,8.51,
2012-03,8.22,
2012-04,8.56,
2012-05,9.25,
2012-06,9.04,
2012-07,9.16,
2012-08,9.00,
2012-09,8.91,
2012-10,8.94,
2012-11,9.00,
2012-12,8.84,
2013-01,8.39,
2013-02,8.46,
2013-03,8.33,
2013-04,8.48,
2013-05,7.92,
2013-06,7.66,
2013-07,7.36,
2013-08,7.29,
2013-09,7.41,
2013-10,7.29,
2013-11,6.98,
2013-12,6.71,
2014-01,7.25,
2014-02,7.06,
2014-03,6.98,
2014-04,7.03,
2014-05,7.11,
2014-06,7.07,
2014-07,7.10,
2014-08,7.16,
2014-09,7.13,
2014-10,7.19,
"",Source: Bloomberg and Bundesbank calculations,
"",Methodology: Difference on the market-implied yield and government bonds. The marktet-implied yield is calculated on the basis of residual earnings ((return on equity minus cost of equity) * book value of equity in the previous period) and prices taken from stock indices,
