"",BBEX3.M.ANG.EUR.CA.AB.A01,BBEX3.M.ANG.EUR.CA.AB.A01_FLAGS
"","Exchange rates for the euro in the Netherlands Antilles and in Curaçao and Sint Maarten (southern part), respectively / EUR 100 = ANG ... (selling)",
unit,ANG (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:36,
1999-01,206.84,
1999-02,200.19,
1999-03,195.18,
1999-04,192.67,
1999-05,189.98,
1999-06,187.65,
1999-07,194.30,
1999-08,192.11,
1999-09,193.78,
1999-10,189.92,
1999-11,183.46,
1999-12,182.53,
2000-01,177.90,
2000-02,176.50,
2000-03,173.57,
2000-04,165.07,
2000-05,169.03,
2000-06,173.63,
2000-07,167.94,
2000-08,161.82,
2000-09,159.25,
2000-10,152.93,
2000-11,157.78,
2000-12,169.07,
2001-01,168.85,
2001-02,168.03,
2001-03,160.47,
2001-04,163.94,
2001-05,154.08,
2001-06,154.08,
2001-07,159.07,
2001-08,166.40,
2001-09,165.90,
2001-10,164.29,
2001-11,161.67,
2001-12,160.13,
2002-01,156.93,
2002-02,157.18,
2002-03,158.51,
2002-04,164.21,
2002-05,170.56,
2002-06,181.24,
2002-07,177.75,
2002-08,178.66,
2002-09,179.15,
2002-10,179.22,
2002-11,180.37,
2002-12,190.54,
2003-01,196.52,
2003-02,195.90,
2003-03,197.96,
2003-04,199.06,
2003-05,214.80,
2003-06,207.62,
2003-07,205.64,
2003-08,198.54,
2003-09,211.71,
2003-10,211.16,
2003-11,217.92,
2003-12,229.48,
2004-01,225.01,
2004-02,225.63,
2004-03,222.10,
2004-04,214.87,
2004-05,221.63,
2004-06,220.85,
2004-07,218.74,
2004-08,220.05,
2004-09,225.46,
2004-10,231.42,
2004-11,241.56,
2004-12,247.49,
2005-01,236.84,
2005-02,240.87,
2005-03,235.55,
2005-04,235.42,
2005-05,224.05,
2005-06,219.70,
2005-07,219.72,
2005-08,221.63,
2005-09,218.80,
2005-10,218.45,
2005-11,213.84,
2005-12,214.34,
2006-01,220.18,
2006-02,215.76,
2006-03,219.92,
2006-04,227.79,
2006-05,233.80,
2006-06,230.99,
2006-07,231.97,
2006-08,233.49,
2006-09,230.02,
2006-10,230.68,
2006-11,239.84,
2006-12,239.29,
2007-01,235.37,
2007-02,240.04,
2007-03,241.98,
2007-04,247.89,
2007-05,244.43,
2007-06,245.38,
2007-07,249.05,
2007-08,249.01,
2007-09,257.62,
2007-10,262.49,
2007-11,268.20,
2007-12,267.47,
2008-01,270.18,
2008-02,275.58,
2008-03,287.29,
2008-04,282.92,
2008-05,281.77,
2008-06,286.42,
2008-07,283.64,
2008-08,267.73,
2008-09,259.88,
2008-10,231.79,
2008-11,231.24,
2008-12,252.86,
2009-01,232.86,
2009-02,229.73,
2009-03,241.80,
2009-04,241.04,
2009-05,256.15,
2009-06,256.81,
2009-07,256.88,
2009-08,259.31,
2009-09,266.05,
2009-10,268.91,
2009-11,272.96,
2009-12,261.75,
2010-01,253.75,
2010-02,246.56,
2010-03,244.91,
2010-04,240.85,
2010-05,223.61,
2010-06,222.96,
2010-07,236.71,
2010-08,230.39,
2010-09,247.98,
2010-10,251.77,
2010-11,236.17,
2010-12,242.78,
2011-01,248.78,
2011-02,251.36,
2011-03,258.13,
2011-04,270.00,
2011-05,261.37,
2011-06,262.60,
2011-07,259.10,
2011-08,262.55,
2011-09,245.34,
2011-10,254.39,
2011-11,243.80,
2011-12,235.09,
2012-01,239.40,
2012-02,244.25,
2012-03,242.67,
2012-04,240.36,
2012-05,225.35,
2012-06,228.75,
2012-07,223.19,
2012-08,229.13,
2012-09,234.93,
2012-10,236.07,
2012-11,235.95,
2012-12,239.73,
2013-01,246.20,
2013-02,238.55,
2013-03,232.66,
2013-04,238.26,
2013-05,236.31,
2013-06,237.66,
2013-07,241.20,
2013-08,240.47,
2013-09,245.38,
2013-10,247.85,
2013-11,247.30,
2013-12,250.57,
2014-01,245.58,
2014-02,250.97,
2014-03,250.52,
2014-04,251.21,
2014-05,247.23,
2014-06,248.16,
2014-07,243.09,
2014-08,239.62,
2014-09,228.63,
2014-10,227.55,
2014-11,226.81,
2014-12,220.59,
2015-01,205.41,
"","General: The Netherlands Antilles, a Dutch overseas territory in the Caribbean, was dissolved with effect from 10 October 2010. Curaçao and Sint Maarten (the southern part) are now autonomous countries within the Kingdom of the Netherlands. Meanwhile, the islands of Bonaire, St Eustatius and Saba (also known as the BES islands) received the status ""specialmunicipalities"" of the Netherlands. Until the end of December 2010, the Netherlands Antillean guilder also remained legal tender on the BES islands, but was replaced by the US dollar at the beginning of 2011.",
"","Source: Since October 2010: Centrale Bank van Curaçao en Sint Maarten, Willemstad. 1999 - September 2010: Bank van de Nederlandse Antillen, Willemstad.",
