"",BBFN1.M.DE.N.1.A.MY.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.MY.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1994-11,0.012,
1994-12,0.012,
1995-01,0.012,
1995-02,0.015,
1995-03,0.016,
1995-04,0.017,
1995-05,0.017,
1995-06,0.016,
1995-07,0.021,
1995-08,0.024,
1995-09,0.024,
1995-10,0.022,
1995-11,0.022,
1995-12,0.021,
1996-01,0.021,
1996-02,0.022,
1996-03,0.022,
1996-04,0.024,
1996-05,0.024,
1996-06,0.024,
1996-07,0.024,
1996-08,0.028,
1996-09,0.028,
1996-10,0.034,
1996-11,0.034,
1996-12,0.034,
1997-01,0.044,
1997-02,0.048,
1997-03,0.053,
1997-04,0.057,
1997-05,0.056,
1997-06,0.056,
1997-07,0.058,
1997-08,0.064,
1997-09,0.066,
1997-10,0.067,
1997-11,0.068,
1997-12,0.066,
1998-01,0.143,
1998-02,0.142,
1998-03,0.146,
1998-04,0.146,
1998-05,0.149,
1998-06,0.151,
1998-07,0.152,
1998-08,0.154,
1998-09,0.215,
1998-10,0.215,
1998-11,0.215,
1998-12,0.209,
1999-01,0.209,
1999-02,0.209,
1999-03,0.206,
1999-04,0.204,
1999-05,0.204,
1999-06,0.209,
1999-07,0.209,
1999-08,0.205,
1999-09,0.068,
1999-10,0.067,
1999-11,0.067,
1999-12,0.061,
2000-01,0.061,
2000-02,0.096,
2000-03,0.096,
2000-04,0.096,
2000-05,0.096,
2000-06,0.095,
2000-07,0.095,
2000-08,0.095,
2000-09,0.095,
2000-10,0.095,
2000-11,0.105,
2000-12,0.097,
2001-01,0.096,
2001-02,0.096,
2001-03,0.099,
2001-04,0.099,
2001-05,0.098,
2001-06,0.099,
2001-07,0.099,
2001-08,0.095,
2001-09,0.096,
2001-10,0.096,
2001-11,0.095,
2001-12,0.093,
2002-01,0.092,
2002-02,0.091,
2002-03,0.096,
2002-04,0.087,
2002-05,0.087,
2002-06,0.096,
2002-07,0.097,
2002-08,0.097,
2002-09,0.097,
2002-10,0.096,
2002-11,0.092,
2002-12,0.073,
2003-01,0.073,
2003-02,0.073,
2003-03,0.068,
2003-04,0.071,
2003-05,0.070,
2003-06,0.069,
2003-07,0.067,
2003-08,0.069,
2003-09,0.069,
2003-10,0.069,
2003-11,0.064,
2003-12,0.064,
2004-01,0.064,
2004-02,0.056,
2004-03,0.065,
2004-04,0.064,
2004-05,0.063,
2004-06,0.063,
2004-07,0.063,
2004-08,0.065,
2004-09,0.067,
2004-10,0.067,
2004-11,0.066,
2004-12,0.045,
2005-01,0.044,
2005-02,0.044,
2005-03,0.044,
2005-04,0.051,
2005-05,0.052,
2005-06,0.042,
2005-07,0.051,
2005-08,0.043,
2005-09,0.033,
2005-10,0.037,
2005-11,0.021,
2005-12,0.043,
2006-01,0.044,
2006-02,0.045,
2006-03,0.046,
2006-04,0.046,
2006-05,0.048,
2006-06,0.047,
2006-07,0.046,
2006-08,0.041,
2006-09,0.041,
2006-10,0.041,
2006-11,0.041,
2006-12,0.043,
2007-01,0.045,
2007-02,0.045,
2007-03,0.046,
2007-04,0.079,
2007-05,0.077,
2007-06,0.075,
2007-07,0.076,
2007-08,0.070,
2007-09,0.142,
2007-10,0.140,
2007-11,0.138,
2007-12,0.166,
2008-01,0.166,
2008-02,0.162,
2008-03,0.159,
2008-04,0.155,
2008-05,0.151,
2008-06,0.150,
2008-07,0.160,
2008-08,0.161,
2008-09,0.183,
2008-10,0.192,
2008-11,0.241,
2008-12,0.258,
2009-01,0.281,
2009-02,0.233,
2009-03,0.235,
2009-04,0.235,
2009-05,0.247,
2009-06,0.295,
2009-07,0.294,
2009-08,0.299,
2009-09,0.291,
2009-10,0.291,
2009-11,0.297,
2009-12,0.306,
2010-01,0.333,
2010-02,0.340,
2010-03,0.345,
2010-04,0.351,
2010-05,0.360,
2010-06,0.334,
2010-07,0.329,
2010-08,0.211,
2010-09,0.200,
2010-10,0.202,
2010-11,0.203,
2010-12,0.196,
2011-01,0.220,
2011-02,0.297,
2011-03,0.323,
2011-04,0.430,
2011-05,0.429,
2011-06,0.464,
2011-07,0.451,
2011-08,0.525,
2011-09,0.523,
2011-10,0.613,
2011-11,0.610,
2011-12,0.607,
2012-01,0.606,
2012-02,0.602,
2012-03,0.510,
2012-04,0.508,
2012-05,0.512,
2012-06,0.529,
2012-07,0.547,
2012-08,0.545,
2012-09,0.545,
2012-10,0.544,
2012-11,0.544,
2012-12,0.545,
2013-01,0.553,
2013-02,0.557,
2013-03,0.567,
2013-04,0.566,
2013-05,0.565,
2013-06,0.563,
2013-07,0.567,
2013-08,0.566,
2013-09,0.510,
2013-10,0.511,
2013-11,0.510,
2013-12,0.446,
2014-01,0.447,
2014-02,0.435,
2014-03,0.438,
2014-04,0.376,
2014-05,0.377,
2014-06,0.377,
2014-07,0.378,
2014-08,0.380,
2014-09,0.378,
2014-10,0.377,
2014-11,0.366,
2014-12,0.368,
