"",BBEE1.Q.I8.AAA.XZE021.A.AABAN.M00,BBEE1.Q.I8.AAA.XZE021.A.AABAN.M00_FLAGS
"",Nominal effective exchange rate of the euro against the currencies of the EER-38 group,
unit,1Q99=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-12 15:35:13,
1993-01,72.4122,
1993-04,74.1121,
1993-07,73.1765,
1993-10,75.0621,
1994-01,77.6970,
1994-04,82.2425,
1994-07,86.3685,
1994-10,87.4884,
1995-01,90.3752,
1995-04,92.4349,
1995-07,93.3288,
1995-10,94.7746,
1996-01,94.7806,
1996-04,94.2370,
1996-07,96.1309,
1996-10,95.4946,
1997-01,92.3668,
1997-04,90.3975,
1997-07,88.2216,
1997-10,92.7557,
1998-01,93.0440,
1998-04,94.6919,
1998-07,97.6569,
1998-10,102.1146,
1999-01,100.0000,
1999-04,96.2949,
1999-07,95.4848,
1999-10,94.2200,
2000-01,90.8671,
2000-04,88.1817,
2000-07,87.0524,
2000-10,85.4496,
2001-01,90.9441,
2001-04,88.8513,
2001-07,90.6658,
2001-10,91.4392,
2002-01,90.4987,
2002-04,93.0016,
2002-07,97.4319,
2002-10,98.7012,
2003-01,103.8184,
2003-04,107.5929,
2003-07,106.7880,
2003-10,109.5751,
2004-01,112.1317,
2004-04,109.6777,
2004-07,110.5940,
2004-10,113.4449,
2005-01,112.7566,
2005-04,110.2359,
2005-07,108.1471,
2005-10,106.8114,
2006-01,106.7248,
2006-04,109.7059,
2006-07,110.7905,
2006-10,110.6471,
2007-01,111.3165,
2007-04,112.3461,
2007-07,112.7566,
2007-10,115.1913,
2008-01,117.0347,
2008-04,119.7642,
2008-07,117.1599,
2008-10,114.1627,
2009-01,118.3669,
2009-04,119.1813,
2009-07,120.4417,
2009-10,121.8376,
2010-01,116.0363,
2010-04,109.6419,
2010-07,109.2441,
2010-10,111.4891,
2011-01,110.9914,
2011-04,113.7432,
2011-07,112.6432,
2011-10,111.7880,
2012-01,108.5140,
2012-04,107.5583,
2012-07,105.1039,
2012-10,107.5189,
2013-01,110.2522,
2013-04,110.6651,
2013-07,113.0083,
2013-10,114.8238,
2014-01,116.6858,
2014-04,116.1532,
2014-07,113.8279,
2014-10,112.5668,
"",Source: European Central Bank: EXR.Q.E7.EUR.EN00.A,
"","Methodology: Based on the weighted averages of the euro or, prior to 1999, of the exchange rates of the currencies preceding the euro against the currencies of the following countries: Algeria, Argentina, Australia, Brazil, Bulgaria, Canada, Chile, China, Croatia, Czech Republic, Denmark, Hong Kong, Hungary, Iceland, India, Indonesia, Israel, Japan, Malaysia, Mexico, Morocco, New Zealand, Norway, Philippines, Poland, Romania, the Russian Federation, Singapore, South Africa, South Korea, Sweden, Switzerland, Taiwan, Thailand, Turkey, the United Kingdom, the United States and Venezuela.                                   The weights used in these calculations are based on manufactured goodstrade and capture third-market effects.                            For details of the methodology see ECB, Monthly Bulletin, March 2012 as well as the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).",
