"",BBSF2.M.1.T.00000.TOT01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
1963-12,1494,
1964-01,1585,
1964-02,1598,
1964-03,1660,
1964-04,1640,
1964-05,1615,
1964-06,1623,
1964-07,1689,
1964-08,1723,
1964-09,1707,
1964-10,1662,
1964-11,1646,
1964-12,1688,
1965-01,1726,
1965-02,1679,
1965-03,1649,
1965-04,1669,
1965-05,1680,
1965-06,1609,
1965-07,1673,
1965-08,1686,
1965-09,1696,
1965-10,1650,
1965-11,1584,
1965-12,1603,
1966-01,1720,
1966-02,1749,
1966-03,1714,
1966-04,1665,
1966-05,1639,
1966-06,1530,
1966-07,1484,
1966-08,1519,
1966-09,1573,
1966-10,1476,
1966-11,1476,
1966-12,1485,
1967-01,1583,
1967-02,1605,
1967-03,1662,
1967-04,1616,
1967-05,1638,
1967-06,1635,
1967-07,1747,
1967-08,1895,
1967-09,1963,
1967-10,2008,
1967-11,2105,
1967-12,2209,
1968-01,2332,
1968-02,2337,
1968-03,2434,
1968-04,2561,
1968-05,2588,
1968-06,2787,
1968-07,2871,
1968-08,2941,
1968-09,2949,
1968-10,3066,
1968-11,3061,
1968-12,3274,
1969-01,3655,
1969-02,3776,
1969-03,3980,
1969-04,4074,
1969-05,4402,
1969-06,4386,
1969-07,4497,
1969-08,4735,
1969-09,4769,
1969-10,5093,
1969-11,5217,
1969-12,5225,
1970-01,5412,
1970-02,5370,
1970-03,5441,
1970-04,5281,
1970-05,5000,
1970-06,4934,
1970-07,5212,
1970-08,5297,
1970-09,5315,
1970-10,5329,
1970-11,5214,
1970-12,5367,
1971-01,5824,
1971-02,5929,
1971-03,6087,
1971-04,6044,
1971-05,6092,
1971-06,6085,
1971-07,6281,
1971-08,6217,
1971-09,6165,
1971-10,6050,
1971-11,6059,
1971-12,6436,
1972-01,6807,
1972-02,7229,
1972-03,7534,
1972-04,7618,
1972-05,7909,
1972-06,8021,
1972-07,8492,
1972-08,8693,
1972-09,8743,
1972-10,8795,
1972-11,8867,
1972-12,9008,
1973-01,9362,
1973-02,9331,
1973-03,9671,
1973-04,9519,
1973-05,9143,
1973-06,9023,
1973-07,8885,
1973-08,8991,
1973-09,9039,
1973-10,9395,
1973-11,8923,
1973-12,8937,
1974-01,9187,
1974-02,8786,
1974-03,8674,
1974-04,8783,
1974-05,8704,
1974-06,8596,
1974-07,8605,
1974-08,8577,
1974-09,8404,
1974-10,8524,
1974-11,8552,
1974-12,8836,
1975-01,9485,
1975-02,9962,
1975-03,10111,
1975-04,10403,
1975-05,10305,
1975-06,10518,
1975-07,10935,
1975-08,10721,
1975-09,10711,
1975-10,11152,
1975-11,11392,
1975-12,11712,
1976-01,12087,
1976-02,12207,
1976-03,12711,
1976-04,12548,
1976-05,12667,
1976-06,12871,
1976-07,12886,
1976-08,13021,
1976-09,13304,
1976-10,13144,
1976-11,13700,
1976-12,14190,
1977-01,14732,
1977-02,14821,
1977-03,15526,
1977-04,16373,
1977-05,16619,
1977-06,16738,
1977-07,17210,
1977-08,17795,
1977-09,18184,
1977-10,18653,
1977-11,18884,
1977-12,19447,
1978-01,20362,
1978-02,20938,
1978-03,21535,
1978-04,21763,
1978-05,22066,
1978-06,22457,
1978-07,22607,
1978-08,22955,
1978-09,23494,
1978-10,23354,
1978-11,23025,
1978-12,23291,
1979-01,23672,
1979-02,23428,
1979-03,23679,
1979-04,23787,
1979-05,23427,
1979-06,23513,
1979-07,24061,
1979-08,24407,
1979-09,24518,
1979-10,23776,
1979-11,23837,
1979-12,24037,
1980-01,24107,
1980-02,23676,
1980-03,22779,
1980-04,23438,
1980-05,24053,
1980-06,24641,
1980-07,25181,
1980-08,25030,
1980-09,24840,
1980-10,24419,
1980-11,24255,
1980-12,24094,
1981-01,24114,
1981-02,23237,
1981-03,23574,
1981-04,23799,
1981-05,23462,
1981-06,24053,
1981-07,24098,
1981-08,23690,
1981-09,23435,
1981-10,23380,
1981-11,24033,
1981-12,23985,
1982-01,24220,
1982-02,24271,
1982-03,25016,
1982-04,25481,
1982-05,25557,
1982-06,25369,
1982-07,25745,
1982-08,26405,
1982-09,27125,
1982-10,27759,
1982-11,27918,
1982-12,28772,
1983-01,29226,
1983-02,29908,
1983-03,31476,
1983-04,32367,
1983-05,32075,
1983-06,32622,
1983-07,33163,
1983-08,32865,
1983-09,33220,
1983-10,34015,
1983-11,34108,
1983-12,34606,
1984-01,35489,
1984-02,35113,
1984-03,35517,
1984-04,36017,
1984-05,35570,
1984-06,36183,
1984-07,36343,
1984-08,37445,
1984-09,38658,
1984-10,39486,
1984-11,40099,
1984-12,40966,
1985-01,42231,
1985-02,42526,
1985-03,42896,
1985-04,44183,
1985-05,46128,
1985-06,47300,
1985-07,47419,
1985-08,49007,
1985-09,49818,
1985-10,51554,
1985-11,51789,
1985-12,54285,
1986-01,55084,
1986-02,55910,
1986-03,59527,
1986-04,61542,
1986-05,61192,
1986-06,61642,
1986-07,61548,
1986-08,64707,
1986-09,63814,
1986-10,64781,
1986-11,65478,
1986-12,66798,
1987-01,66543,
1987-02,67221,
1987-03,70008,
1987-04,71524,
1987-05,73301,
1987-06,75343,
1987-07,77881,
1987-08,78890,
1987-09,79498,
1987-10,75019,
1987-11,74292,
1987-12,75320,
1988-01,76333,
1988-02,79854,
1988-03,81642,
1988-04,82996,
1988-05,84635,
1988-06,87443,
1988-07,89615,
1988-08,90366,
1988-09,93650,
1988-10,95294,
1988-11,95204,
1988-12,98046,
1989-01,101981,
1989-02,100775,
1989-03,103726,
1989-04,106466,
1989-05,108670,
1989-06,111118,
1989-07,113809,
1989-08,116326,
1989-09,116080,
1989-10,114825,
1989-11,115060,
1989-12,117501,
1990-01,118626,
1990-02,117646,
1990-03,121295,
1990-04,120638,
1990-05,123122,
1990-06,124954,
1990-07,126955,
1990-08,122655,
1990-09,119253,
1990-10,122335,
1990-11,121697,
1990-12,122125,
1991-01,123831,
1991-02,128481,
1991-03,132327,
1991-04,136083,
1991-05,139715,
1991-06,140570,
1991-07,142081,
1991-08,143957,
1991-09,144883,
1991-10,146682,
1991-11,144704,
1991-12,145419,
1992-01,152920,
1992-02,156343,
1992-03,157337,
1992-04,160032,
1992-05,163087,
1992-06,161611,
1992-07,160257,
1992-08,156967,
1992-09,156734,
1992-10,159538,
1992-11,158156,
1992-12,157782,
1993-01,161383,
1993-02,168813,
1993-03,172448,
1993-04,174146,
1993-05,177229,
1993-06,181424,
1993-07,186615,
1993-08,192889,
1993-09,193790,
1993-10,202400,
1993-11,204869,
1993-12,213224,
1994-01,220258,
1994-02,220655,
1994-03,221646,
1994-04,228105,
1994-05,226624,
1994-06,225542,
1994-07,231591,
1994-08,233798,
1994-09,229813,
1994-10,233624,
1994-11,236267,
1994-12,248507,
1995-01,247922,
1995-02,249631,
1995-03,248032,
1995-04,253081,
1995-05,259319,
1995-06,259757,
1995-07,266466,
1995-08,270812,
1995-09,272002,
1995-10,273628,
1995-11,280133,
1995-12,288852,
1996-01,301569,
1996-02,303971,
1996-03,308617,
1996-04,315999,
1996-05,319480,
1996-06,321552,
1996-07,320712,
1996-08,326225,
1996-09,333275,
1996-10,338331,
1996-11,346341,
1996-12,349738,
1997-01,364223,
1997-02,379590,
1997-03,386545,
1997-04,394373,
1997-05,402972,
1997-06,421772,
1997-07,447220,
1997-08,435167,
1997-09,448255,
1997-10,437802,
1997-11,444902,
1997-12,460317,
1998-01,478651,
1998-02,496810,
1998-03,519329,
1998-04,522063,
1998-05,540916,
1998-06,554448,
1998-07,565707,
1998-08,542730,
1998-09,532661,
1998-10,544102,
1998-11,571453,
1998-12,579102,
1999-01,601888,
1999-02,603256,
1999-03,615035,
1999-04,644870,
1999-05,642043,
1999-06,657823,
1999-07,654286,
1999-08,668000,
1999-09,663104,
1999-10,683644,
1999-11,716532,
1999-12,766082,
2000-01,768563,
2000-02,808116,
2000-03,820232,
2000-04,825747,
2000-05,816035,
2000-06,815912,
2000-07,828441,
2000-08,854833,
2000-09,844238,
2000-10,851845,
2000-11,823518,
2000-12,821211,
2001-01,841047,
2001-02,812981,
2001-03,797972,
2001-04,823104,
2001-05,825728,
2001-06,816312,
2001-07,808463,
2001-08,787853,
2001-09,750023,
2001-10,778937,
2001-11,801769,
2001-12,813292,
2002-01,815472,
2002-02,816333,
2002-03,827871,
2002-04,818248,
2002-05,813203,
2002-06,785464,
2002-07,768047,
2002-08,775217,
2002-09,751411,
2002-10,771597,
2002-11,787430,
2002-12,762698,
2003-01,762495,
2003-02,762088,
2003-03,762193,
2003-04,785950,
2003-05,798433,
2003-06,813275,
2003-07,818771,
2003-08,830256,
2003-09,827327,
2003-10,836717,
2003-11,835092,
2003-12,841812,
2004-01,852873,
2004-02,859635,
2004-03,862014,
2004-04,861273,
2004-05,852950,
2004-06,858700,
2004-07,856185,
2004-08,859361,
2004-09,860607,
2004-10,863553,
2004-11,870172,
2004-12,869292,
2005-01,880481,
2005-02,886798,
2005-03,889814,
2005-04,889862,
2005-05,909307,
2005-06,927599,
2005-07,945850,
2005-08,950262,
2005-09,966261,
2005-10,952227,
2005-11,966315,
2005-12,976518,
2006-01,984643,
2006-02,995589,
2006-03,995805,
2006-04,995442,
2006-05,980276,
2006-06,978711,
2006-07,986901,
2006-08,997547,
2006-09,1011182,
2006-10,1021379,
2006-11,1023104,
2006-12,1027292,
2007-01,1035146,
2007-02,1038060,
2007-03,1043600,
2007-04,1061002,
2007-05,1070015,
2007-06,1066237,
2007-07,1060505,
2007-08,1052921,
2007-09,1056989,
2007-10,1072414,
2007-11,1052545,
2007-12,1047036,
2008-01,1011958,
2008-02,1014228,
2008-03,996303,
2008-04,1016995,
2008-05,1024630,
2008-06,985426,
2008-07,987344,
2008-08,997833,
2008-09,965433,
2008-10,910133,
2008-11,913453,
2008-12,909604,
2009-01,912666,
2009-02,894354,
2009-03,897834,
2009-04,926456,
2009-05,937148,
2009-06,938980,
2009-07,966795,
2009-08,981146,
2009-09,1000899,
2009-10,1000516,
2009-11,1011508,
2009-12,1027377,
2010-01,1032716,
2010-02,1042979,
2010-03,1068850,
2010-04,1075605,
2010-05,1076555,
2010-06,1071000,
2010-07,1085678,
2010-08,1106361,
2010-09,1116242,
2010-10,1127711,
2010-11,1126000,
2010-12,1136949,
2011-01,1137988,
2011-02,1150811,
2011-03,1141753,
2011-04,1150114,
2011-05,1154014,
2011-06,1146006,
2011-07,1153455,
2011-08,1122900,
2011-09,1110853,
2011-10,1134262,
2011-11,1119937,
2011-12,1138727,
2012-01,1163504,
2012-02,1193855,
2012-03,1198862,
2012-04,1196274,
2012-05,1196066,
2012-06,1203407,
2012-07,1245039,
2012-08,1257161,
2012-09,1266587,
2012-10,1277145,
2012-11,1291848,
2012-12,1309466,
2013-01,1317728,
2013-02,1332466,
2013-03,1351299,
2013-04,1373729,
2013-05,1375021,
2013-06,1344793,
2013-07,1374283,
2013-08,1365707,
2013-09,1386450,
2013-10,1412663,
2013-11,1422725,
2013-12,1421287,
2014-01,1425886,
2014-02,1452530,
2014-03,1465048,
2014-04,1475462,
2014-05,1504769,
2014-06,1514525,
2014-07,1525292,
2014-08,1554412,
2014-09,1553997,
2014-10,1562203,
2014-11,1591228,
