"",BBEX3.M.PYG.USD.CA.AC.A01,BBEX3.M.PYG.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Paraguay / USD 1 = PYG ... (middle),
unit,PYG (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:19,
1990-01,1276.500,
1990-02,1241.500,
1990-03,1212.500,
1990-04,1228.500,
1990-05,1247.500,
1990-06,1192.500,
1990-07,1198.000,
1990-08,1195.000,
1990-09,1204.500,
1990-10,1199.500,
1990-11,1230.500,
1990-12,1251.000,
1991-01,1321.000,
1991-02,1317.000,
1991-03,1307.500,
1991-04,1331.000,
1991-05,1324.000,
1991-06,1325.000,
1991-07,1313.500,
1991-08,1316.000,
1991-09,1310.500,
1991-10,1309.500,
1991-11,1336.000,
1991-12,1370.000,
1992-01,1422.500,
1992-02,1452.500,
1992-03,1446.500,
1992-04,1447.500,
1992-05,1456.000,
1992-06,1484.500,
1992-07,1487.500,
1992-08,1517.500,
1992-09,1549.500,
1992-10,1557.500,
1992-11,1604.500,
1992-12,1621.500,
1993-01,1637.500,
1993-02,1657.500,
1993-03,1712.000,
1993-04,1719.000,
1993-05,1732.000,
1993-06,1739.000,
1993-07,1747.000,
1993-08,1757.000,
1993-09,1786.500,
1993-10,1798.500,
1993-11,1808.500,
1993-12,1834.000,
1994-01,1867.000,
1994-02,1889.500,
1994-03,1906.000,
1994-04,1904.500,
1994-05,1908.000,
1994-06,1906.500,
1994-07,1909.500,
1994-08,1908.500,
1994-09,1916.500,
1994-10,1917.500,
1994-11,1923.000,
1994-12,1923.500,
1995-01,1943.000,
1995-02,1959.500,
1995-03,1968.000,
1995-04,1967.000,
1995-05,1966.000,
1995-06,1965.000,
1995-07,1966.000,
1995-08,1966.500,
1995-09,1967.000,
1995-10,1966.000,
1995-11,1976.000,
1995-12,1986.500,
1996-01,2008.000,
1996-02,2023.500,
1996-03,2029.500,
1996-04,2039.000,
1996-05,2044.000,
1996-06,2054.000,
1996-07,2064.500,
1996-08,2083.500,
1996-09,2084.000,
1996-10,2098.000,
1996-11,2098.500,
1996-12,2110.000,
1997-01,2125.500,
1997-02,2129.500,
1997-03,2146.500,
1997-04,2148.500,
1997-05,2160.000,
1997-06,2165.000,
1997-07,2174.000,
1997-08,2182.000,
1997-09,2191.500,
1997-10,2213.500,
1997-11,2240.000,
1997-12,2365.000,
1998-01,2519.500,
1998-02,2525.000,
1998-03,2577.500,
1998-04,2703.000,
1998-05,2707.500,
1998-06,2767.500,
1998-07,2807.500,
1998-08,2825.000,
1998-09,2820.000,
1998-10,2832.500,
1998-11,2838.500,
1998-12,2845.000,
1999-01,2851.500,
1999-02,2901.500,
1999-03,2905.000,
1999-04,2913.500,
1999-05,2952.000,
1999-06,3234.000,
1999-07,3289.000,
