"",BBAI3.Q.DE.N.V.LE.F4.SV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F4.SV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Property and casualty insurance companies / Loans / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:25,
2005-10,10392,
2006-01,11157,
2006-04,11386,
2006-07,11855,
2006-10,12593,
2007-01,14093,
2007-04,14887,
2007-07,16001,
2007-10,17233,
2008-01,15634,
2008-04,14301,
2008-07,13665,
2008-10,13191,
2009-01,13152,
2009-04,12372,
2009-07,11721,
2009-10,11098,
2010-01,11052,
2010-04,10373,
2010-07,9774,
2010-10,9517,
2011-01,9438,
2011-04,8873,
2011-07,8384,
2011-10,7968,
2012-01,8572,
2012-04,8861,
2012-07,9173,
2012-10,9572,
2013-01,9450,
2013-04,8901,
2013-07,8440,
2013-10,8145,
2014-01,8635,
2014-04,8527,
2014-07,8460,
