"",BBAI3.Q.DE.N.V.LE.F2M.RV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F2M.RV.A1.S.1.N.E.Z_FLAGS
"",Assets / Reinsurance companies / Deposits / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:56,
2005-10,8043,
2006-01,9163,
2006-04,10559,
2006-07,10514,
2006-10,10443,
2007-01,10372,
2007-04,10402,
2007-07,10047,
2007-10,9743,
2008-01,10683,
2008-04,11418,
2008-07,11717,
2008-10,11938,
2009-01,11008,
2009-04,9935,
2009-07,12001,
2009-10,14377,
2010-01,12462,
2010-04,11008,
2010-07,10821,
2010-10,10479,
2011-01,11171,
2011-04,12029,
2011-07,13200,
2011-10,13467,
2012-01,12529,
2012-04,12605,
2012-07,12951,
2012-10,13173,
2013-01,12801,
2013-04,13203,
2013-07,13370,
2013-10,13104,
2014-01,12109,
2014-04,11785,
2014-07,11497,
