"",BBSF2.M.1.S.I1251.DAC01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.DAC01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Net asset value / Life insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:16,
2009-09,-,Nothing exists
2009-10,-,Nothing exists
2009-11,1082,
2009-12,1099,
2010-01,1088,
2010-02,1088,
2010-03,1080,
2010-04,1080,
2010-05,1092,
2010-06,1094,
2010-07,1090,
2010-08,1073,
2010-09,1657,
2010-10,1659,
2010-11,1665,
2010-12,1670,
2011-01,1677,
2011-02,1731,
2011-03,1723,
2011-04,1771,
2011-05,1769,
2011-06,1765,
2011-07,1774,
2011-08,1761,
2011-09,1813,
2011-10,1827,
2011-11,1810,
2011-12,1831,
2012-01,1855,
2012-02,1869,
2012-03,1813,
2012-04,1817,
2012-05,1827,
2012-06,1832,
2012-07,1854,
2012-08,1860,
2012-09,1862,
2012-10,1860,
2012-11,1925,
2012-12,1872,
2013-01,1873,
2013-02,1910,
2013-03,1836,
2013-04,1875,
2013-05,1867,
2013-06,1836,
2013-07,1866,
2013-08,1843,
2013-09,1863,
2013-10,1879,
2013-11,1877,
2013-12,1985,
2014-01,1997,
2014-02,2013,
2014-03,1970,
2014-04,2030,
2014-05,2049,
2014-06,2061,
2014-07,2073,
2014-08,2089,
2014-09,2085,
2014-10,2083,
2014-11,2078,
