"",BBFN1.M.DE.N.1.L.CH.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CH.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1981-06,.,Value available later
1981-07,.,Value available later
1981-08,.,Value available later
1981-09,.,Value available later
1981-10,.,Value available later
1981-11,.,Value available later
1981-12,8.350,
1982-01,.,Value available later
1982-02,.,Value available later
1982-03,.,Value available later
1982-04,.,Value available later
1982-05,.,Value available later
1982-06,.,Value available later
1982-07,.,Value available later
1982-08,.,Value available later
1982-09,8.860,
1982-10,8.962,
1982-11,8.868,
1982-12,8.387,
1983-01,8.495,
1983-02,8.823,
1983-03,8.771,
1983-04,8.707,
1983-05,8.684,
1983-06,8.781,
1983-07,8.939,
1983-08,8.977,
1983-09,9.062,
1983-10,9.187,
1983-11,9.165,
1983-12,9.301,
1984-01,9.255,
1984-02,9.321,
1984-03,9.355,
1984-04,9.369,
1984-05,9.349,
1984-06,9.281,
1984-07,9.274,
1984-08,9.309,
1984-09,9.365,
1984-10,9.413,
1984-11,9.434,
1984-12,9.109,
1985-01,9.264,
1985-02,9.396,
1985-03,9.273,
1985-04,9.281,
1985-05,9.274,
1985-06,9.304,
1985-07,9.283,
1985-08,9.268,
1985-09,9.467,
1985-10,9.483,
1985-11,9.335,
1985-12,9.059,
1986-01,9.333,
1986-02,9.353,
1986-03,9.311,
1986-04,9.170,
1986-05,9.410,
1986-06,9.526,
1986-07,9.810,
1986-08,9.764,
1986-09,9.650,
1986-10,9.554,
1986-11,9.234,
1986-12,9.024,
1987-01,8.978,
1987-02,9.223,
1987-03,9.341,
1987-04,9.406,
1987-05,9.366,
1987-06,9.612,
1987-07,9.728,
1987-08,9.654,
1987-09,9.789,
1987-10,9.978,
1987-11,9.810,
1987-12,9.946,
1988-01,10.076,
1988-02,10.271,
1988-03,10.492,
1988-04,10.425,
1988-05,10.591,
1988-06,10.659,
1988-07,10.910,
1988-08,11.140,
1988-09,11.022,
1988-10,11.005,
1988-11,10.878,
1988-12,9.772,
1989-01,10.145,
1989-02,10.130,
1989-03,9.946,
1989-04,10.136,
1989-05,10.079,
1989-06,10.481,
1989-07,10.466,
1989-08,10.585,
1989-09,10.638,
1989-10,10.644,
1989-11,10.244,
1989-12,10.313,
1990-01,10.063,
1990-02,9.962,
1990-03,10.364,
1990-04,10.428,
1990-05,10.458,
1990-06,10.661,
1990-07,10.846,
1990-08,11.144,
1990-09,10.887,
1990-10,10.713,
1990-11,11.160,
1990-12,11.087,
1991-01,10.610,
1991-02,10.802,
1991-03,11.125,
1991-04,11.168,
1991-05,11.095,
1991-06,11.522,
1991-07,11.528,
1991-08,11.676,
1991-09,11.670,
1991-10,11.989,
1991-11,11.896,
1991-12,12.359,
1992-01,12.596,
1992-02,12.890,
1992-03,12.774,
1992-04,12.808,
1992-05,13.261,
1992-06,13.377,
1992-07,13.492,
1992-08,13.417,
1992-09,14.128,
1992-10,14.317,
1992-11,14.151,
1992-12,13.835,
1993-01,14.151,
1993-02,14.618,
1993-03,14.616,
1993-04,14.786,
1993-05,14.849,
1993-06,14.957,
1993-07,14.921,
1993-08,15.279,
1993-09,15.718,
1993-10,15.795,
1993-11,15.606,
1993-12,15.367,
1994-01,15.289,
1994-02,15.478,
1994-03,15.799,
1994-04,15.601,
1994-05,15.731,
1994-06,15.856,
1994-07,15.907,
1994-08,16.129,
1994-09,16.167,
1994-10,16.154,
1994-11,16.509,
1994-12,15.724,
1995-01,13.276,
1995-02,13.773,
1995-03,13.457,
1995-04,13.623,
1995-05,13.472,
1995-06,13.755,
1995-07,13.945,
1995-08,14.090,
1995-09,14.183,
1995-10,14.017,
1995-11,14.020,
1995-12,12.999,
1996-01,12.865,
1996-02,12.867,
1996-03,13.156,
1996-04,13.064,
1996-05,13.055,
1996-06,13.293,
1996-07,13.655,
1996-08,13.364,
1996-09,13.944,
1996-10,13.506,
1996-11,13.208,
1996-12,13.625,
1997-01,13.401,
1997-02,13.515,
1997-03,13.122,
1997-04,13.047,
1997-05,12.597,
1997-06,12.724,
1997-07,12.609,
1997-08,12.650,
1997-09,12.481,
1997-10,11.953,
1997-11,12.207,
1997-12,12.858,
1998-01,12.835,
1998-02,12.798,
1998-03,12.811,
1998-04,12.816,
1998-05,13.084,
1998-06,13.085,
1998-07,12.337,
1998-08,12.533,
1998-09,12.316,
1998-10,11.061,
1998-11,10.732,
1998-12,11.384,
1999-01,11.424,
1999-02,11.722,
1999-03,11.667,
1999-04,12.947,
1999-05,12.940,
1999-06,13.081,
1999-07,12.450,
1999-08,13.419,
1999-09,13.323,
1999-10,14.663,
1999-11,14.771,
1999-12,14.971,
2000-01,15.012,
2000-02,15.141,
2000-03,16.816,
2000-04,20.126,
2000-05,19.598,
2000-06,20.318,
2000-07,20.386,
2000-08,20.301,
2000-09,20.703,
2000-10,21.429,
2000-11,21.575,
2000-12,20.237,
2001-01,24.176,
2001-02,23.420,
2001-03,22.080,
2001-04,22.154,
2001-05,19.450,
2001-06,20.088,
2001-07,19.857,
2001-08,19.896,
2001-09,20.455,
2001-10,19.610,
2001-11,18.798,
2001-12,18.188,
2002-01,15.814,
2002-02,15.365,
2002-03,15.081,
2002-04,17.893,
2002-05,19.618,
2002-06,18.748,
2002-07,18.379,
2002-08,18.786,
2002-09,19.485,
2002-10,19.986,
2002-11,19.993,
2002-12,21.383,
2003-01,20.900,
2003-02,21.002,
2003-03,21.445,
2003-04,21.393,
2003-05,21.198,
2003-06,21.123,
2003-07,21.173,
2003-08,21.337,
2003-09,22.024,
2003-10,22.178,
2003-11,22.458,
2003-12,20.202,
2004-01,19.851,
2004-02,19.457,
2004-03,19.449,
2004-04,18.806,
2004-05,19.028,
2004-06,18.833,
2004-07,18.504,
2004-08,18.730,
2004-09,18.720,
2004-10,18.917,
2004-11,18.878,
2004-12,18.420,
2005-01,18.604,
2005-02,18.956,
2005-03,18.439,
2005-04,18.683,
2005-05,18.964,
2005-06,21.321,
2005-07,21.815,
2005-08,22.242,
2005-09,22.431,
2005-10,19.831,
2005-11,21.353,
2005-12,21.545,
2006-01,22.294,
2006-02,21.761,
2006-03,22.028,
2006-04,21.768,
2006-05,22.021,
2006-06,20.207,
2006-07,19.828,
2006-08,18.175,
2006-09,19.077,
2006-10,19.120,
2006-11,18.913,
2006-12,22.506,
2007-01,24.284,
2007-02,26.581,
2007-03,22.642,
2007-04,21.889,
2007-05,26.458,
2007-06,34.509,
2007-07,29.226,
2007-08,31.240,
2007-09,28.448,
2007-10,31.214,
2007-11,30.967,
2007-12,23.535,
2008-01,21.498,
2008-02,25.831,
2008-03,26.009,
2008-04,29.076,
2008-05,23.555,
2008-06,33.961,
2008-07,28.413,
2008-08,28.710,
2008-09,25.185,
2008-10,31.739,
2008-11,30.151,
2008-12,30.280,
2009-01,20.148,
2009-02,21.002,
2009-03,22.643,
2009-04,23.661,
2009-05,21.004,
2009-06,20.998,
2009-07,22.204,
2009-08,23.141,
2009-09,23.878,
2009-10,22.907,
2009-11,23.472,
2009-12,30.848,
2010-01,22.409,
2010-02,22.650,
2010-03,26.208,
2010-04,23.337,
2010-05,23.175,
2010-06,24.500,
2010-07,25.093,
2010-08,24.523,
2010-09,24.395,
2010-10,24.061,
2010-11,24.052,
2010-12,25.725,
2011-01,25.863,
2011-02,24.768,
2011-03,26.503,
2011-04,26.391,
2011-05,26.849,
2011-06,27.116,
2011-07,27.192,
2011-08,29.706,
2011-09,32.328,
2011-10,32.678,
2011-11,34.546,
2011-12,35.401,
2012-01,31.053,
2012-02,31.371,
2012-03,32.116,
2012-04,34.684,
2012-05,34.786,
2012-06,35.660,
2012-07,35.417,
2012-08,33.655,
2012-09,34.557,
2012-10,34.583,
2012-11,33.555,
2012-12,34.727,
2013-01,31.815,
2013-02,32.060,
2013-03,32.906,
2013-04,32.782,
2013-05,32.456,
2013-06,34.694,
2013-07,33.322,
2013-08,33.179,
2013-09,33.418,
2013-10,35.906,
2013-11,36.696,
2013-12,37.441,
2014-01,33.835,
2014-02,33.878,
2014-03,35.130,
2014-04,35.511,
2014-05,35.538,
2014-06,34.937,
2014-07,37.379,
2014-08,37.937,
2014-09,39.111,
2014-10,36.581,
2014-11,34.641,
2014-12,37.827,
