"",BBK01.CEFEKK,BBK01.CEFEKK_FLAGS
"",short-term loans   debtor: Insurance corporations       creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:33,
1999-01,25.1,
1999-04,25.5,
1999-07,25.9,
1999-10,26.3,
2000-01,26.6,
2000-04,26.8,
2000-07,27.0,
2000-10,27.2,
2001-01,27.7,
2001-04,28.2,
2001-07,28.7,
2001-10,29.1,
2002-01,29.5,
2002-04,29.8,
2002-07,30.1,
2002-10,30.4,
2003-01,31.1,
2003-04,31.9,
2003-07,32.8,
2003-10,33.6,
2004-01,34.3,
2004-04,35.1,
2004-07,35.8,
2004-10,36.6,
2005-01,34.7,
2005-04,32.8,
2005-07,31.1,
2005-10,29.5,
2006-01,29.2,
2006-04,28.7,
2006-07,28.2,
2006-10,27.6,
2007-01,27.1,
2007-04,26.3,
2007-07,25.6,
2007-10,24.7,
2008-01,24.5,
2008-04,24.1,
2008-07,23.7,
2008-10,22.9,
2009-01,22.4,
2009-04,21.8,
2009-07,21.2,
2009-10,20.6,
2010-01,20.9,
2010-04,21.0,
2010-07,20.8,
2010-10,20.7,
2011-01,20.7,
2011-04,20.5,
2011-07,20.3,
2011-10,19.9,
2012-01,20.1,
2012-04,20.2,
2012-07,20.3,
2012-10,20.4,
2013-01,19.2,
2013-04,18.5,
2013-07,18.0,
2013-10,17.6,
2014-01,17.9,
2014-04,18.0,
2014-07,18.0,
