"",BBK01.CEBF0B,BBK01.CEBF0B_FLAGS
"",longer-term loans debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:20,
1991-01,91.1,
1991-04,90.8,
1991-07,93.9,
1991-10,92.6,
1992-01,94.7,
1992-04,95.2,
1992-07,97.5,
1992-10,95.4,
1993-01,97.2,
1993-04,99.2,
1993-07,102.1,
1993-10,100.8,
1994-01,102.5,
1994-04,104.4,
1994-07,105.9,
1994-10,107.2,
1995-01,103.1,
1995-04,105.6,
1995-07,107.7,
1995-10,110.6,
1996-01,114.5,
1996-04,115.4,
1996-07,117.2,
1996-10,114.8,
1997-01,117.2,
1997-04,118.9,
1997-07,119.8,
1997-10,116.2,
1998-01,118.5,
1998-04,119.1,
1998-07,120.1,
1998-10,117.1,
1999-01,108.4,
1999-04,109.4,
1999-07,110.3,
1999-10,115.9,
2000-01,116.4,
2000-04,118.6,
2000-07,120.1,
2000-10,117.9,
2001-01,119.6,
2001-04,121.0,
2001-07,124.2,
2001-10,134.0,
2002-01,137.2,
2002-04,138.7,
2002-07,137.6,
2002-10,153.9,
2003-01,155.2,
2003-04,157.9,
2003-07,160.0,
2003-10,175.9,
2004-01,180.5,
2004-04,182.0,
2004-07,183.3,
2004-10,189.4,
2005-01,190.5,
2005-04,190.2,
2005-07,190.4,
2005-10,180.9,
2006-01,185.2,
2006-04,188.2,
2006-07,191.4,
2006-10,190.8,
2007-01,194.5,
2007-04,197.5,
2007-07,201.9,
2007-10,202.1,
2008-01,199.7,
2008-04,201.5,
2008-07,201.7,
2008-10,200.0,
2009-01,208.0,
2009-04,213.1,
2009-07,215.3,
2009-10,218.2,
2010-01,223.8,
2010-04,225.4,
2010-07,226.6,
2010-10,225.1,
2011-01,226.8,
2011-04,228.0,
2011-07,228.7,
2011-10,229.2,
2012-01,231.7,
2012-04,231.2,
2012-07,232.1,
2012-10,232.0,
2013-01,234.0,
2013-04,234.8,
2013-07,236.7,
2013-10,237.9,
2014-01,239.9,
