"",BBAI3.Q.DE.N.V.LE.F.SV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F.SV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Property and casualty insurance companies / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:23,
2005-10,185115,
2006-01,191083,
2006-04,185687,
2006-07,194455,
2006-10,197413,
2007-01,209131,
2007-04,210881,
2007-07,208279,
2007-10,204461,
2008-01,204016,
2008-04,196869,
2008-07,190364,
2008-10,180333,
2009-01,180825,
2009-04,176742,
2009-07,178997,
2009-10,179430,
2010-01,189753,
2010-04,181522,
2010-07,176360,
2010-10,177969,
2011-01,186848,
2011-04,182259,
2011-07,173350,
2011-10,173244,
2012-01,184645,
2012-04,180857,
2012-07,184459,
2012-10,189336,
2013-01,200563,
2013-04,199847,
2013-07,199815,
2013-10,205779,
2014-01,215457,
2014-04,210817,
2014-07,210359,
