"",BBAI3.Q.DE.N.V.LE.F7.SK.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F7.SK.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Death benefit funds / Other accounts receivable/payable / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:36,
2005-10,39,
2006-01,34,
2006-04,34,
2006-07,34,
2006-10,41,
2007-01,35,
2007-04,36,
2007-07,36,
2007-10,44,
2008-01,38,
2008-04,38,
2008-07,39,
2008-10,51,
2009-01,40,
2009-04,38,
2009-07,37,
2009-10,43,
2010-01,37,
2010-04,37,
2010-07,37,
2010-10,44,
2011-01,40,
2011-04,42,
2011-07,44,
2011-10,53,
2012-01,48,
2012-04,48,
2012-07,48,
2012-10,53,
2013-01,49,
2013-04,49,
2013-07,50,
2013-10,54,
2014-01,50,
2014-04,51,
2014-07,51,
