"",BBK01.SUD257,BBK01.SUD257_FLAGS
"","New business (volumes) of German banks / Loans for consumption to households with collateral and/or guarantees, initital rate fixation of over 5 years",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:26:59,
2010-06,108,
2010-07,150,
2010-08,136,
2010-09,159,
2010-10,153,
2010-11,175,
2010-12,173,
2011-01,135,
2011-02,116,
2011-03,142,
2011-04,124,
2011-05,152,
2011-06,113,
2011-07,121,
2011-08,135,
2011-09,115,
2011-10,124,
2011-11,135,
2011-12,121,
2012-01,122,
2012-02,130,
2012-03,166,
2012-04,131,
2012-05,108,
2012-06,149,
2012-07,134,
2012-08,143,
2012-09,118,
2012-10,118,
2012-11,104,
2012-12,91,
2013-01,103,
2013-02,71,
2013-03,89,
2013-04,91,
2013-05,91,
2013-06,76,
2013-07,103,
2013-08,78,
2013-09,70,
2013-10,66,
2013-11,53,
2013-12,56,
2014-01,62,
2014-02,65,
2014-03,70,
2014-04,63,
2014-05,69,
2014-06,66,
2014-07,69,
2014-08,53,
2014-09,60,
2014-10,478,
2014-11,384,
2014-12,302,Provisional value
"","General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. Loans for consumption are definded as loans granted for the purpose of personal use in the consumption of goods and services. For the purpose of MFI interest rate statistics, a loan is considered to be secured if collateral (inter alia financial collateral, real estate collateral, debt securities) in at least the same value as the loan amount has been posted, pledged or assigned. p = Provisional",
