"",BBAI3.Q.DE.N.V.LE.F52M.KV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F52M.KV.A1.S.1.N.E.Z_FLAGS
"",Assets / Health insurance companies / Money market fund shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:37,
2005-10,17,
2006-01,18,
2006-04,14,
2006-07,13,
2006-10,15,
2007-01,12,
2007-04,23,
2007-07,87,
2007-10,97,
2008-01,100,
2008-04,103,
2008-07,113,
2008-10,82,
2009-01,52,
2009-04,51,
2009-07,47,
2009-10,53,
2010-01,79,
2010-04,40,
2010-07,39,
2010-10,32,
2011-01,36,
2011-04,34,
2011-07,43,
2011-10,40,
2012-01,32,
2012-04,33,
2012-07,27,
2012-10,173,
2013-01,32,
2013-04,33,
2013-07,39,
2013-10,59,
2014-01,72,
2014-04,72,
2014-07,73,
