"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.Z5.00125.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.Z5.00125.000000.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Insurance corporations and pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:46,
2009-09,8830,
2009-10,8126,
2009-11,8131,
2009-12,8522,
2010-01,7963,
2010-02,8250,
2010-03,11449,
2010-04,11795,
2010-05,10689,
2010-06,9725,
2010-07,10121,
2010-08,8806,
2010-09,8558,
2010-10,9391,
2010-11,8780,
2010-12,9410,
2011-01,10457,
2011-02,10632,
2011-03,10049,
2011-04,10387,
2011-05,9737,
2011-06,9669,
2011-07,9410,
2011-08,7963,
2011-09,8057,
2011-10,9421,
2011-11,8856,
2011-12,8927,
2012-01,9724,
2012-02,10314,
2012-03,10399,
2012-04,9966,
2012-05,9000,
2012-06,9741,
2012-07,10025,
2012-08,10521,
2012-09,10826,
2012-10,11275,
2012-11,11710,
2012-12,12397,
2013-01,12545,
2013-02,12485,
2013-03,12976,
2013-04,13648,
2013-05,13935,
2013-06,13455,
2013-07,14209,
2013-08,13543,
2013-09,14464,
2013-10,15427,
2013-11,15964,
2013-12,16169,
2014-01,15059,
2014-02,15248,
2014-03,14911,
2014-04,15301,
2014-05,15235,
2014-06,13655,
2014-07,13904,
2014-08,14285,
2014-09,14085,
2014-10,14040,
2014-11,14844,
