"",BBK01.CEBX0N,BBK01.CEBX0N_FLAGS
"",Prepayments of insurance premiums and reserves for outstanding claims debtor: Insurance corporations                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:52,
1991-01,10.5,
1991-04,10.7,
1991-07,11.7,
1991-10,12.6,
1992-01,11.3,
1992-04,12.6,
1992-07,14.2,
1992-10,14.8,
1993-01,14.0,
1993-04,15.2,
1993-07,17.0,
1993-10,18.3,
1994-01,19.8,
1994-04,20.5,
1994-07,22.5,
1994-10,21.5,
1995-01,15.4,
1995-04,17.3,
1995-07,20.1,
1995-10,21.1,
1996-01,21.9,
1996-04,23.0,
1996-07,25.1,
1996-10,25.0,
1997-01,28.8,
1997-04,30.9,
1997-07,33.5,
1997-10,28.9,
1998-01,29.9,
1998-04,34.5,
1998-07,36.4,
1998-10,35.6,
1999-01,34.3,
1999-04,34.8,
1999-07,35.4,
1999-10,36.9,
2000-01,38.0,
2000-04,38.5,
2000-07,38.9,
2000-10,41.7,
2001-01,42.9,
2001-04,43.4,
2001-07,44.5,
2001-10,49.0,
2002-01,51.3,
2002-04,51.9,
2002-07,52.6,
2002-10,53.5,
2003-01,54.2,
2003-04,55.0,
2003-07,55.5,
2003-10,64.7,
2004-01,65.8,
2004-04,65.9,
2004-07,66.6,
2004-10,70.0,
2005-01,71.6,
2005-04,72.0,
2005-07,73.3,
2005-10,86.0,
2006-01,83.8,
2006-04,81.6,
2006-07,79.3,
2006-10,83.0,
2007-01,80.8,
2007-04,78.6,
2007-07,76.3,
2007-10,75.2,
2008-01,75.4,
2008-04,75.6,
2008-07,75.6,
2008-10,75.4,
2009-01,75.8,
2009-04,76.0,
2009-07,76.1,
2009-10,75.7,
2010-01,77.1,
2010-04,78.4,
2010-07,79.7,
2010-10,81.7,
2011-01,83.0,
2011-04,84.5,
2011-07,85.9,
2011-10,88.4,
2012-01,88.9,
2012-04,89.4,
2012-07,89.9,
2012-10,90.4,
2013-01,88.1,
2013-04,89.1,
2013-07,90.5,
2013-10,91.4,
2014-01,95.3,
