"",BBNZ1.Q.DE.N.H.0106.L,BBNZ1.Q.DE.N.H.0106.L_FLAGS
"","Germany / National accounts / Use of gross domestic product / Government consumption (price adjusted) 1, 2, 3",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:42:43,
1970-01,40.72,
1970-04,41.12,
1970-07,42.08,
1970-10,47.07,
1971-01,43.97,
1971-04,44.32,
1971-07,45.03,
1971-10,48.59,
1972-01,46.93,
1972-04,46.02,
1972-07,46.82,
1972-10,51.05,
1973-01,50.00,
1973-04,49.30,
1973-07,49.22,
1973-10,54.10,
1974-01,52.48,
1974-04,52.23,
1974-07,52.72,
1974-10,56.50,
1975-01,54.17,
1975-04,54.43,
1975-07,55.98,
1975-10,58.90,
1976-01,56.21,
1976-04,55.72,
1976-07,56.52,
1976-10,59.78,
1977-01,57.44,
1977-04,56.32,
1977-07,57.61,
1977-10,61.68,
1978-01,59.56,
1978-04,58.99,
1978-07,60.30,
1978-10,63.91,
1979-01,62.13,
1979-04,61.98,
1979-07,62.54,
1979-10,65.73,
1980-01,64.38,
1980-04,64.68,
1980-07,64.75,
1980-10,67.34,
1981-01,69.81,
1981-04,66.57,
1981-07,66.92,
1981-10,69.84,
1982-01,68.57,
1982-04,66.79,
1982-07,65.99,
1982-10,68.94,
1983-01,67.12,
1983-04,66.28,
1983-07,65.68,
1983-10,69.95,
1984-01,67.23,
1984-04,67.18,
1984-07,66.57,
1984-10,71.32,
1985-01,67.50,
1985-04,67.42,
1985-07,67.56,
1985-10,72.01,
1986-01,67.84,
1986-04,68.77,
1986-07,69.03,
1986-10,72.80,
1987-01,68.87,
1987-04,68.96,
1987-07,69.04,
1987-10,73.28,
1988-01,69.68,
1988-04,69.70,
1988-07,70.25,
1988-10,74.64,
1989-01,68.24,
1989-04,69.05,
1989-07,69.08,
1989-10,71.84,
1990-01,69.46,
1990-04,70.26,
1990-07,70.30,
1990-10,73.82,
1991-01,70.49,
1991-04,71.34,
1991-07,73.62,
1991-10,77.77,
1992-01,75.26,
1992-04,75.88,
1992-07,77.14,
1992-10,81.03,
1993-01,77.13,
1993-04,76.77,
1993-07,76.89,
1993-10,80.17,
1994-01,78.52,
1994-04,78.88,
1994-07,79.20,
1994-10,84.08,
1995-01,78.67,
1995-04,80.22,
1995-07,81.84,
1995-10,87.22,
1996-01,81.66,
1996-04,82.66,
1996-07,84.00,
1996-10,87.97,
1997-01,83.63,
1997-04,84.14,
1997-07,84.36,
1997-10,86.99,
1998-01,85.06,
1998-04,85.60,
1998-07,85.97,
1998-10,89.71,
1999-01,86.77,
1999-04,86.17,
1999-07,86.96,
1999-10,90.42,
2000-01,87.94,
2000-04,87.37,
2000-07,87.44,
2000-10,92.31,
2001-01,88.23,
2001-04,87.70,
2001-07,87.72,
2001-10,93.22,
2002-01,88.60,
2002-04,88.72,
2002-07,89.29,
2002-10,94.58,
2003-01,89.22,
2003-04,89.14,
2003-07,90.07,
2003-10,94.62,
2004-01,89.29,
2004-04,88.64,
2004-07,89.58,
2004-10,92.68,
2005-01,88.96,
2005-04,89.87,
2005-07,89.86,
2005-10,93.21,
2006-01,90.60,
2006-04,89.89,
2006-07,90.92,
2006-10,94.11,
2007-01,92.13,
2007-04,91.53,
2007-07,91.85,
2007-10,95.44,
2008-01,94.39,
2008-04,95.18,
2008-07,95.05,
2008-10,98.81,
2009-01,97.93,
2009-04,97.16,
2009-07,98.46,
2009-10,101.33,
2010-01,100.13,
2010-04,97.89,
2010-07,99.52,
2010-10,102.46,
2011-01,100.56,
2011-04,98.83,
2011-07,99.79,
2011-10,103.50,
2012-01,101.49,
2012-04,100.30,
2012-07,101.36,
2012-10,104.54,
2013-01,102.63,
2013-04,100.59,
2013-07,102.41,
2013-10,105.00,
2014-01,103.23,
2014-04,101.79,
2014-07,103.74,
2014-10,106.57,
"","General: 1 Source of the original data: Federal Statistical Office. - 2 Territorial definition: Germany as of 1991, prior to that western Germany. Linked over annual average of 1991 (Bundesbank calculation). - 3 Methodology: Figures are chain-linked Laspeyres indices (annual overlap). As of 1970 up to the end of 1990, data basis according to ESA 1995. As of 1991, data basis according to ESA 2010.",
