"",BBK01.CEBFB0,BBK01.CEBFB0_FLAGS
"",longer-term loans debtor: Insurance corporations                   creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:25,
1991-01,2.9,
1991-04,2.9,
1991-07,2.9,
1991-10,4.1,
1992-01,4.1,
1992-04,4.1,
1992-07,4.1,
1992-10,4.4,
1993-01,4.4,
1993-04,4.5,
1993-07,4.5,
1993-10,4.6,
1994-01,4.6,
1994-04,4.8,
1994-07,4.8,
1994-10,5.9,
1995-01,7.1,
1995-04,7.2,
1995-07,7.4,
1995-10,7.9,
1996-01,8.1,
1996-04,8.2,
1996-07,8.2,
1996-10,9.1,
1997-01,9.1,
1997-04,9.7,
1997-07,9.9,
1997-10,11.4,
1998-01,11.5,
1998-04,11.5,
1998-07,11.5,
1998-10,14.3,
1999-01,14.6,
1999-04,14.9,
1999-07,15.1,
1999-10,17.4,
2000-01,16.1,
2000-04,16.9,
2000-07,16.9,
2000-10,18.6,
2001-01,18.8,
2001-04,18.9,
2001-07,20.0,
2001-10,23.4,
2002-01,24.1,
2002-04,24.2,
2002-07,23.9,
2002-10,27.4,
2003-01,27.4,
2003-04,30.8,
2003-07,30.4,
2003-10,32.8,
2004-01,33.1,
2004-04,32.7,
2004-07,32.7,
2004-10,32.9,
2005-01,33.1,
2005-04,32.9,
2005-07,33.5,
2005-10,31.3,
2006-01,33.6,
2006-04,34.2,
2006-07,36.3,
2006-10,37.7,
2007-01,37.3,
2007-04,37.9,
2007-07,40.0,
2007-10,35.3,
2008-01,35.6,
2008-04,36.1,
2008-07,35.0,
2008-10,32.0,
2009-01,31.6,
2009-04,31.2,
2009-07,30.7,
2009-10,30.9,
2010-01,31.5,
2010-04,31.3,
2010-07,32.2,
2010-10,25.5,
2011-01,24.8,
2011-04,24.9,
2011-07,25.2,
2011-10,25.9,
2012-01,26.2,
2012-04,26.3,
2012-07,26.2,
2012-10,27.1,
2013-01,27.2,
2013-04,26.7,
2013-07,26.9,
2013-10,28.2,
2014-01,28.0,
