"",BBAI3.Q.DE.N.V.LE.F332A.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F332A.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Securities other than shares excluding financial derivatives over 1 year and up to 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:34,
2005-10,5019,
2006-01,5096,
2006-04,4556,
2006-07,3660,
2006-10,3616,
2007-01,6478,
2007-04,4667,
2007-07,4604,
2007-10,5504,
2008-01,4360,
2008-04,4227,
2008-07,4157,
2008-10,4898,
2009-01,4481,
2009-04,4489,
2009-07,4365,
2009-10,3560,
2010-01,3803,
2010-04,3288,
2010-07,3207,
2010-10,2997,
2011-01,3004,
2011-04,2659,
2011-07,3789,
2011-10,3570,
2012-01,4923,
2012-04,4345,
2012-07,5385,
2012-10,4400,
2013-01,3586,
2013-04,3309,
2013-07,3515,
2013-10,2614,
2014-01,2229,
2014-04,1262,
2014-07,1268,
