"",BBAI3.Q.DE.N.V.LE.F6.S125.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F6.S125.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations and pension funds (ICPFs) / Insurance technical reserves / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:55,
2005-10,1263789,
2006-01,1281987,
2006-04,1294718,
2006-07,1307258,
2006-10,1318754,
2007-01,1338673,
2007-04,1349978,
2007-07,1364048,
2007-10,1377890,
2008-01,1393901,
2008-04,1400114,
2008-07,1405216,
2008-10,1396308,
2009-01,1420160,
2009-04,1435322,
2009-07,1449140,
2009-10,1460539,
2010-01,1496763,
2010-04,1516551,
2010-07,1529214,
2010-10,1573349,
2011-01,1598444,
2011-04,1609929,
2011-07,1620791,
2011-10,1624965,
2012-01,1652912,
2012-04,1667908,
2012-07,1684522,
2012-10,1703228,
2013-01,1738955,
2013-04,1751597,
2013-07,1765955,
2013-10,1792960,
2014-01,1819865,
2014-04,1842496,
2014-07,1853607,
