"",BBK01.CEHE20,BBK01.CEHE20_FLAGS
"",short-term loans debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:19,
1991-01,0.9,
1991-04,2.6,
1991-07,0.1,
1991-10,-1.1,
1992-01,1.2,
1992-04,1.9,
1992-07,1.8,
1992-10,0.6,
1993-01,1.3,
1993-04,1.0,
1993-07,-0.1,
1993-10,0.4,
1994-01,2.3,
1994-04,2.0,
1994-07,0.3,
1994-10,-0.4,
1995-01,5.0,
1995-04,0.8,
1995-07,-1.2,
1995-10,2.2,
1996-01,4.1,
1996-04,0.5,
1996-07,-1.4,
1996-10,7.7,
1997-01,4.2,
1997-04,7.2,
1997-07,-4.8,
1997-10,2.5,
1998-01,5.5,
1998-04,9.3,
1998-07,-6.1,
1998-10,0.1,
1999-01,0.2,
1999-04,13.0,
1999-07,-8.7,
1999-10,7.7,
2000-01,27.6,
2000-04,14.6,
2000-07,-8.2,
2000-10,-2.7,
2001-01,18.0,
2001-04,-5.1,
2001-07,3.6,
2001-10,-15.9,
2002-01,-3.4,
2002-04,-4.6,
2002-07,3.0,
2002-10,-2.9,
2003-01,22.2,
2003-04,-0.5,
2003-07,4.0,
2003-10,-9.7,
2004-01,11.0,
2004-04,-9.6,
2004-07,-1.8,
2004-10,-1.7,
2005-01,-0.5,
2005-04,2.2,
2005-07,19.9,
2005-10,-8.1,
2006-01,29.8,
2006-04,9.4,
2006-07,8.3,
2006-10,-23.2,
2007-01,36.6,
2007-04,17.3,
2007-07,0.7,
2007-10,-22.6,
2008-01,33.9,
2008-04,9.8,
2008-07,-6.7,
2008-10,4.4,
2009-01,19.9,
2009-04,8.7,
2009-07,-14.7,
2009-10,15.8,
2010-01,-28.7,
2010-04,33.3,
2010-07,3.8,
2010-10,1.7,
2011-01,4.8,
2011-04,46.6,
2011-07,49.2,
2011-10,-26.3,
2012-01,30.9,
2012-04,34.1,
2012-07,-15.9,
2012-10,-14.1,
2013-01,35.6,
2013-04,53.2,
2013-07,-41.3,
2013-10,-21.3,
2014-01,16.9,
